state,name,census_id,id,year,category,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,has_unconfirmed
AR,Arkansas Northeastern College,NA,101670,2020,Community College District,13690719,6938557,972347,0,0,0,4348665,0,698611,0,732539,0,0,0,0,0,0,5485320,14075238,16003,19560558,FALSE
ME,Saint Francis,NA,145793,2020,General Purpose,1124,0,1124,0,0,0,0,0,0,0,0,53846,23796,0,570911,-28585,677138,0,0,0,648553,FALSE
MN,White Bear Township,24306200300000,118792,2020,General Purpose,10203428,7738609,1035453,0,0,0,1259046,0,0,0,170320,5990788,145784,2099667,5471640,4262908,9444971,0,0,0,13707879,FALSE
MI,Kalkaska County,23104004000000,79275,2020,General Purpose,9678979,0,1873617,0,0,0,6711113,0,882594,0,211655,3244086,2416240,7688,7102677,770656,12000035,355800,45261,0,12770691,FALSE
OK,Osage County Rural Water District No. 5,NA,147461,2020,Special District,297838,0,12132,0,0,285706,0,0,0,0,0,0,0,0,0,0,0,155110,15546,0,170656,FALSE
MO,Pleasant Hill,26201901200000,119701,2020,General Purpose,8782773,5561723,614589,134851,0,87501,201012,0,80899,0,128803,4291767,265779,1016717,5239283,1757042,9056504,0,0,0,10813546,FALSE
MI,Coe Township,NA,159801,2020,General Purpose,203958,0,203958,0,0,0,0,0,0,0,0,175201,0,0,292721,3578,464344,0,0,0,467922,FALSE
OH,Brooke-Hancock-Jefferson Metropolitan Planning Commission,NA,65017,2020,Special District,1059543,0,90912,1246,0,0,666346,0,301039,0,0,0,958816,0,326298,-99799,1384913,0,0,0,1285114,FALSE
MA,Brockton,22201200100000,34031,2020,General Purpose,1357046389,165943231,37605662,0,3382997,5332871,262884960,0,847436964,0,15094113,60881691,288092121,9786448,186435057,-38727949,583923266,0,0,0,545195317,FALSE
AR,Trumann,4205600500000,96293,2020,General Purpose,101913,2320000,101913,745102,0,0,1870736,0,0,0,225095,0,0,0,6833541,596848,6236693,0,0,0,6833541,FALSE
CA,The Amaad Institute,NA,199939,2020,Public Higher Education,954523,0,804523,0,150000,0,0,0,0,0,0,0,0,0,2100212,228501,1871711,0,0,0,2100212,FALSE
OK,Sequoyah Adair Cherokee Wagoner Mcintosh & Muskogee County Senior Citizens Nutrition Program,NA,147581,2020,Special District,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3498167,15870,0,3514037,FALSE
NJ,County College of Morris,NA,35631,2020,Community College District,32424556,0,9805420,107939,0,0,20846863,0,0,0,1664335,0,0,0,0,0,0,44484101,25798018,9373948,70282119,FALSE
OH,Zane State College,NA,36842,2020,Community College District,24469671,5090000,2149201,0,0,600000,13732780,0,2182332,603857,715358,0,0,0,0,0,0,7763573,10141083,1541680,17904656,FALSE
MS,Northwest Mississippi Community College,NA,35080,2020,Community College District,115381578,28026644,2469499,0,0,0,80588828,0,4159447,0,0,0,0,0,0,0,0,43089311,28675045,7461277,71764356,FALSE
NM,Santa Fe Community College,NA,28905,2020,Community College District,105845434,25766663,5796437,0,0,0,56947975,0,16021291,0,1313068,0,0,0,0,0,0,15515787,44489614,966520,60005401,FALSE
OH,Terra State Community College,NA,84535,2020,Community College District,24887409,5125000,755555,0,0,0,13770018,0,2676984,547615,298039,0,0,0,0,0,0,5569593,9272662,2433257,14842255,FALSE
OH,Clark State Community College,NA,36838,2020,Community College District,51106830,10995666,3073587,0,0,0,30515409,0,5820809,1219648,652987,0,0,0,0,0,0,12894098,24685854,4554380,37579952,FALSE
NY,Geneseo,33302600400000,122168,2020,General Purpose,2482721,0,236754,0,0,1698424,482102,0,0,0,65441,1035308,62291,702075,1768466,392267,3175873,0,0,0,3568140,FALSE
NH,Bristol,30300500700000,121355,2020,General Purpose,10683120,2111496,252453,160185,0,1500000,5806456,0,467043,0,304630,1540575,247684,1592000,5637376,1436364,7581271,0,0,0,9017635,FALSE
