"","state","name","id"
"1","AK","Saint Mary's School District",64746
"2","AR","Arkansas River Educational Service Cooperative",188464
"3","AR","Boston Mountain Educational Cooperative",44870
"4","AR","Cross County School District No. 7",98665
"5","AR","Crowley's Ridge Education Service Cooperative",30759
"6","AR","Dawson Educational Cooperative",56143
"7","AR","Dequeen-Mena Educational Service Cooperative",30778
"8","AR","Great Rivers Educational Service Cooperative",98693
"9","AR","Guy Fenter Education Service Cooperative",30709
"10","AR","Hoxie School District No. 46",1027272
"11","AR","Kipp Delta Public Schools",50412
"12","AR","Mulberry School District No. 101",145849
"13","AR","Northcentral Arkansas Education Service Cooperative",101680
"14","AR","Northeast Arkansas Educational Cooperative",101681
"15","AR","Northwest Arkansas Education Service Cooperative",43818
"16","AR","Ozarks Unlimited Resources Educational Cooperative",229576
"17","AR","Parkers Chapel School District No. 35",98768
"18","AR","Searcy Special School District",108526
"19","AR","South Central Service Cooperative",101689
"20","AR","South Side School District No. 2",145861
"21","AR","Southwest Arkansas Educational Cooperative",188490
"22","AR","Special Procedures on Selected School Districts",108527
"23","AR","West Side School District No. 4",145868
"24","AR","Wilbur D. Mills Education Service Cooperative",188500
"25","AZ","Chilchinbeto Community School Inc",45860
"26","AZ","Pima County Joint Technical Education District No. 11",223740
"27","AZ","St. Johns Unified School District No. 1",30515
"28","CA","Alpine County Office of Education",67002
"29","CA","Amethod Public Schools",171010
"30","CA","Community Collaborative Virtual School",169346
"31","CA","Contra Costa County Special Education Local Plan Area",45569
"32","CA","East San Gabriel Valley Regional Occupational Program",31259
"33","CA","Elkins Elementary School District",146108
"34","CA","Fresno County Superintendent of Schools",67306
"35","CA","Greater Anaheim Special Education Local Plan Area",47326
"36","CA","Hope Elementary School District",146216
"37","CA","Hospitality Industry Training and Education Fund",188694
"38","CA","Inyo County Office of Education",93657
"39","CA","Island Union Elementary School District",146232
"40","CA","Kings River-Hardwick Union School District",98877
"41","CA","Point Arena Schools District",167205
"42","CA","South Bay Union Elementary School District",146666
"43","CA","Two Rock Union School District",146729
"44","CA","Vista Charter Public Schools Inc.",169748
"45","CA","Washington Unified School District (Yolo County)",146760
"46","CO","Arapahoe County School District No. 1",32037
"47","CO","Arapahoe County School District No. 6",41980
"48","CO","Colorado River Board of Cooperative Educational Services",59201
"49","CO","Conejos School District No. 6j",223911
"50","CO","East Central Board of Cooperative Educational Services",32066
"51","CO","El Paso County School District #22",50906
"52","CO","El Paso County School District No. 14",223917
"53","CO","El Paso County School District No. 38",50907
"54","CO","El Paso County School District No. 8",32049
"55","CO","Joint School District No. 28-J of the Counties of Adams and Arapahoe",32038
"56","CO","Northeast Colorado Board of Cooperative Educational Services",32075
"57","CO","Northwest Colorado Board of Cooperative Educational Services",41619
"58","CO","Pagosa Peak Open School",171026
"59","CO","Pikes Peak Board of Cooperative Educational Services",46642
"60","CO","Salida School District No. R-32-J",32041
"61","CO","San Juan Board of Cooperative Educational Services",32062
"62","CO","San Luis Valley Boces",32035
"63","CO","Santa Fe Trail Boces",46575
"64","CO","South Central BOCES",32080
"65","CO","Southeastern BOCES",93774
"66","CO","Weld County School District No. 6",32085
"67","CO","Weld County School District Re-8",40218
"68","CT","Capitol Regional Education Council",32208
"69","CT","Eastern Connecticut Regional Educational Service Center",68203
