"","state","name","id","ncesID"
"1","AK","Delta/Greely School District",93562,NA
"2","AK","Matanuska-Susitna Borough School District",31585,NA
"3","AK","Saint Mary's School District",64746,NA
"4","AK","Yukon-Koyukuk School District",30414,NA
"5","AL","Cullman County Commission on Education",163742,NA
"6","AR","Arkansas River Educational Service Cooperative",188464,NA
"7","AR","Boston Mountain Educational Cooperative",44870,NA
"8","AR","Brinkley School District No. 8",1027233,NA
"9","AR","Cross County School District No. 7",98665,NA
"10","AR","Crowley's Ridge Education Service Cooperative",30759,NA
"11","AR","Dawson Educational Cooperative",56143,NA
"12","AR","Dequeen-Mena Educational Service Cooperative",30778,NA
"13","AR","Great Rivers Educational Service Cooperative",98693,NA
"14","AR","Guy Fenter Education Service Cooperative",30709,NA
"15","AR","Hoxie School District No. 46",1027272,NA
"16","AR","Kipp Delta Public Schools",50412,NA
"17","AR","Mulberry School District No. 101",145849,NA
"18","AR","Northcentral Arkansas Education Service Cooperative",101680,NA
"19","AR","Northeast Arkansas Educational Cooperative",101681,NA
"20","AR","Northwest Arkansas Education Service Cooperative",43818,NA
"21","AR","Ozarks Unlimited Resources Educational Cooperative",229576,NA
"22","AR","Parkers Chapel School District No. 35",98768,NA
"23","AR","Searcy Special School District",108526,NA
"24","AR","South Central Service Cooperative",101689,NA
"25","AR","South Side School District No. 2",145861,NA
"26","AR","Southwest Arkansas Educational Cooperative",188490,NA
"27","AR","Special Procedures on Selected School Districts",108527,NA
"28","AR","West Side School District No. 4",145868,NA
"29","AR","Wilbur D. Mills Education Service Cooperative",188500,NA
"30","AZ","Chilchinbeto Community School Inc",45860,NA
"31","AZ","Pima County Joint Technical Education District No. 11",223740,NA
"32","AZ","St. Johns Unified School District No. 1",30515,NA
"33","AZ","Toltec Elementary School District No. 22",171213,NA
"34","CA","Alpine County Office of Education",67002,NA
"35","CA","Amethod Public Schools",171010,NA
"36","CA","Beardsley Elementary School District",31159,NA
"37","CA","Bitterwater-Tully Union School District",145945,NA
"38","CA","Bolinas-Stinson Union School District",145952,NA
"39","CA","Community Collaborative Virtual School",169346,NA
"40","CA","Contra Costa County Special Education Local Plan Area",45569,NA
"41","CA","Cutler-Orosi Joint Unified School District",108402,NA
"42","CA","East San Gabriel Valley Regional Occupational Program",31259,NA
"43","CA","El Segundo Unified School District",44062,NA
"44","CA","Elkins Elementary School District",146108,NA
"45","CA","Fresno County Superintendent of Schools",67306,NA
"46","CA","Greater Anaheim Special Education Local Plan Area",47326,NA
"47","CA","Hope Elementary School District",146216,NA
"48","CA","Hospitality Industry Training and Education Fund",188694,NA
"49","CA","Inyo County Office of Education",93657,NA
"50","CA","Island Union Elementary School District",146232,NA
"51","CA","Kings River-Hardwick Union School District",98877,NA
"52","CA","Latrobe School District",146296,NA
"53","CA","Peninsula Union School District",146497,NA
"54","CA","Placerville Union Elementary School District",91072,NA
"55","CA","Point Arena Schools District",167205,NA
"56","CA","Rio Bravo-Greeley Union Elementary School District",51579,NA
"57","CA","San Mateo-Foster City School District",67826,NA
"58","CA","Sausalito Marin City School District",67849,NA
"59","CA","South Bay Union Elementary School District",146666,NA
"60","CA","South Fork Union School District",146667,NA
"61","CA","Spreckels Union School District",1140030,NA
"62","CA","Sulphur Springs Union School District",67938,NA
"63","CA","Tuolumne County Superintendent of Schools",45608,NA
"64","CA","Two Rock Union School District",146729,NA
"65","CA","Valley Center-Pauma Unified School District",47336,NA
"66","CA","Vista Charter Public Schools Inc.",169748,NA
"67","CA","Vista Del Mar Union School District",146751,NA
"68","CA","Washington Unified School District (Yolo County)",146760,NA
"69","CA","Woodville Union School District",65329,NA
"70","CO","Arapahoe County School District No. 1",32037,NA
"71","CO","Arapahoe County School District No. 6",41980,NA
"72","CO","Aspen School District No. 1 (Re)",167273,NA
"73","CO","Center Consolidated School District No. 26jt",68071,NA
"74","CO","Colorado River Board of Cooperative Educational Services",59201,NA
"75","CO","Conejos School District No. 6j",223911,NA
"76","CO","Crowley County School District No. RE-1-J",223912,NA
"77","CO","Douglas County School District RE. 1",32045,NA
"78","CO","Eagle County School District Re50j",196443,NA
"79","CO","East Central Board of Cooperative Educational Services",32066,NA
"80","CO","El Paso County School District #22",50906,NA
"81","CO","El Paso County School District No. 14",223917,NA
"82","CO","El Paso County School District No. 38",50907,NA
"83","CO","El Paso County School District No. 8",32049,NA
"84","CO","Freemont County School District RE-2",167280,NA
"85","CO","Gunnison Watershed School District RE-1J",32056,NA
"86","CO","Joint School District No. 28-J of the Counties of Adams and Arapahoe",32038,NA
"87","CO","Lake County School District",32058,NA
"88","CO","Las Animas County School District No. RE-1",93770,NA
"89","CO","Mapleton Public Schools",32031,NA
"90","CO","Montezuma County (Cortez) School District RE-1",32070,NA
"91","CO","Northeast Colorado Board of Cooperative Educational Services",32075,NA
"92","CO","Northwest Colorado Board of Cooperative Educational Services",41619,NA
"93","CO","Pagosa Peak Open School",171026,NA
"94","CO","Pikes Peak Board of Cooperative Educational Services",46642,NA
"95","CO","Salida School District No. R-32-J",32041,NA
"96","CO","San Juan Board of Cooperative Educational Services",32062,NA
"97","CO","San Luis Valley Boces",32035,NA
"98","CO","Santa Fe Trail Boces",46575,NA
"99","CO","South Central BOCES",32080,NA
"100","CO","Southeastern BOCES",93774,NA
"101","CO","St. Vrain Valley School District RE-1J",32039,NA
"102","CO","Weld County School District No. 6",32085,NA
"103","CO","Weld County School District Re-8",40218,NA
"104","CO","Woodland Park School District Number RE-2",32084,NA
"105","CT","Capitol Regional Education Council",32208,NA
"106","CT","Eastern Connecticut Regional Educational Service Center",68203,NA
"107","CT","Pomperaug Regional School District No. 15",32209,NA
"108","CT","Regional School District No. 11",155925,NA
"109","CT","Regional School District No. 14",98974,NA
"110","CT","Regional School District No. 7",68355,NA
"111","CT","Regional Supervision District Board of Education",68357,NA
"112","CT","Shepaug Regional School District 12",98978,NA
"113","DE","Tarbiyah School",398306,NA
"114","FL","Andrews High School",68492,NA
"115","FL","Aventura City of Excellence School",68544,NA
"116","FL","Biscayne High School",68624,NA
"117","FL","Byrneville Elementary School",68709,NA
"118","FL","C.G. Bethel High School",103106,NA
"119","FL","Chambers High School",68768,NA
"120","FL","Creative Inspiration Journey of St. Cloud",399040,NA
"121","FL","Don Soffer Aventura High School",399046,NA
"122","FL","Dr. Kiran C. Patel High School",399051,NA
"123","FL","Flora Ridge Educational Facilities Benefit District",1063388,NA
"124","FL","Lake Wales Senior High School",399128,NA
"125","FL","Lone Star High School",69573,NA
"126","FL","Mcintosh Area School",69672,NA
"127","FL","Micanopy Area Cooperative School",69708,NA
"128","FL","Nature Coast Middle School",69750,NA
"129","FL","New Beginnings High School",69754,NA
"130","FL","New Springs Elementary School",399164,NA
"131","FL","Palm Pointe Educational Research School at Tradition",69899,NA
"132","FL","Pensacola Beach Elementary School",69946,NA
"133","FL","Polk Avenue Elementary School",70017,NA
"134","FL","Suncoast School for Innovative Studies",70393,NA
"135","FL","Suned High of South Broward",399262,NA
"136","FL","Sunrise High School",105055,NA
"137","FL","Sunshine High School Greater Orlando Campus",399264,NA
"138","FL","Terrace Community Middle School",70440,NA
"139","FL","The Einstein School",70451,NA
"140","FL","The Florida School for the Deaf and the Blind",157127,NA
"141","FL","The Seaside School, Inc.",70468,NA
"142","GA","Buford City Schools",99008,NA
"143","GA","Central Savannah River Area RESA",189191,NA
"144","GA","Chattahoochee Flint RESA",189193,NA
"145","GA","Coastal Plains RESA",189196,NA
"146","GA","First District RESA",189208,NA
"147","GA","Griffin RESA",189214,NA
"148","GA","Heart of Georgia RESA",189218,NA
"149","GA","Middle Georgia RESA",189228,NA
"150","GA","North Georgia Regional Educational Service Agency",189235,NA
"151","GA","Northwest Georgia Regional Educational Service Agency",189236,NA
"152","GA","Oconee RESA",189237,NA
"153","GA","Okefenokee RESA",189239,NA
"154","GA","Pioneer RESA",189242,NA
"155","GA","Southwest Georgia RESA",189250,NA
"156","GA","The Metropolitan RESA",189227,NA
"157","GA","West Georgia RESA",189263,NA
"158","IA","Cardinal of Eldon Community School District",162812,NA
"159","IA","Central Rivers Area Education Agency 267",50262,NA
"160","IA","Grant Wood Area Education Agency 10",33361,NA
"161","IA","Great Prairie Area Education Agency",52626,NA
"162","IA","Green Hills Aea",33420,NA
"163","IA","Iowa Education Benefits Program",163018,NA
"164","IA","Iowa Star School 28e Retention Pool Trust",169574,NA
"165","IA","Janesville Consolidated School District",163034,NA
"166","IA","Keystone Area Education Agency 1",33371,NA
"167","IA","Martensdale-St. Marys Community School District",163082,NA
"168","IA","MFL MarMac Community School District",163067,NA
"169","IA","Mississippi Bend Area Education Agency 9",163090,NA
"170","IA","Prairie Lakes Area Education Agency",165780,NA
"171","IA","Treasurer of State Iowa Educational Savings Plan Trust",163249,NA
"172","IA","West Lyon Community School District No. 60",163289,NA
"173","ID","Homedale Joint School District No. 370",32740,NA
"174","ID","Joint School District No. 21",32701,NA
"175","ID","Joint School District No.2",32700,NA
"176","IL","B-M-P Tri-County Special Education Cooperative",47478,NA
"177","IL","Burr Ridge Community Consolidated School District 180",51824,NA
"178","IL","Capital Area Career Center",45120,NA
"179","IL","Career Center of Southern Illinois",42411,NA
"180","IL","Community Consolidated School District 15",32944,NA
"181","IL","Community Consolidated School District 181",53271,NA
"182","IL","Community Consolidated School District No. 65",44008,NA
"183","IL","Community Unit School District 100",42064,NA
