,ncesID,nces_original_name,students,education employee,total employee,source,note
1,902790,New Haven School District,20468,2020,3422,"p152, CT New Haven 2020.pdf ",
2,900450,Bridgeport School District,20111,,,,
3,904830,Waterbury School District,18697,2001,4077,"p112, CT Waterbury 2021",board of education
4,901920,Hartford School District,18081,3066,4457,"p142, CT Hartford 2021",
5,904320,Stamford School District,16479,2283,3345,"p144, CT Stamford 2021",
6,901020,Danbury School District,11903,,,,"this does not include education employee, this SD  have 1674.25 total staff FTE"
7,903090,Norwalk School District,11642,1409,2036,p125 CT Norwalk 2021,
8,900002,Connecticut Technical Education and Career System,10993,,,,no acfrs
9,902670,New Britain School District,10032,1418,2018,p129 CT New Britain 2021,
10,901530,Fairfield School District,9624,1468.05,1931.65,p140 CT Fairfield 2021,Town of Fairfield
11,904920,West Hartford School District,9437,,,,
12,901710,Greenwich School District,9015,,,,
13,902400,Meriden School District,8117,,,,
14,900510,Bristol School District,7858,,,,
15,904440,Stratford School District,6795,,,,
16,904620,Trumbull School District,6787,,,,
17,901260,East Hartford School District,6767,,,,
18,904230,Southington School District,6298,,,,
19,902310,Manchester School District,6262,,,,
20,901620,Glastonbury School District,5814,,,,
21,904950,West Haven School District,5756,,,,
22,904740,Wallingford School District,5649,,,,
23,902520,Milford School District,5583,,,,
24,901860,Hamden School District,5408,,,,
25,905040,Westport School District,5312,,,,
26,901470,Enfield School District,5015,,,,
27,901050,Darien School District,4737,,,,
28,903810,Ridgefield School District,4679,,,,
29,904050,Shelton School District,4654,,,,
30,902490,Middletown School District,4548,,,,
31,904170,South Windsor School District,4536,,,,
32,902640,Naugatuck School District,4359,,,,
33,901770,Groton School District,4252,,,,
34,902700,New Canaan School District,4208,,,,
35,900750,Cheshire School District,4188,,,,
36,902910,Newtown School District,4162,,,,
37,901560,Farmington School District,4149,,,,
38,904110,Simsbury School District,4064,,,,
39,902880,Newington School District,3993,,,,
40,902850,New Milford School District,3930,,,,
41,905130,Wilton School District,3843,,,,
42,904590,Torrington School District,3788,,,,
43,903537,Regional School District 15,3646,,,,
44,905070,Wethersfield School District,3575,,,,
45,903120,Norwich School District,3488,,,,
46,902820,New London School District,3391,,,,
47,905190,Windham School District,3321,,,,
48,905220,Windsor School District,3303,,,,
49,901800,Guilford School District,3236,,,,
50,900120,Avon School District,3162,,,,
51,903030,North Haven School District,3160,,,,
52,900270,Bethel School District,3139,,,,
53,904680,Vernon School District,3134,,,,
54,902550,Monroe School District,3123,,,,
55,901290,East Haven School District,2871,,,,
56,900420,Branford School District,2791,,,,
57,900210,Berlin School District,2735,,,,
58,904890,Watertown School District,2705,,,,
59,903840,Rocky Hill School District,2698,,,,
60,901320,East Lyme School District,2687,,,,
61,901440,Ellington School District,2676,,,,
62,902280,Madison School District,2610,,,,
