"","id","state","name","ncesID","nces_original_name","students"
"1","30400","AK","Alaska Gateway School District","0200050","Alaska Gateway School District","409"
"2","31587","AK","Aleutians East Borough School District","0200007","Aleutians East Borough School District","234"
"3","40425","AK","Anchorage School District","0200180","Anchorage School District","46143"
"4","91417","AK","Annette Islands School District","0200525","Annette Island School District","310"
"5","30406","AK","Bering Strait School District","0200020","Bering Strait School District","1900"
"6","223680","AK","Bristol Bay Borough School District","0200030","Bristol Bay Borough School District","113"
"7","64745","AK","Chatham School District","0200730","Chatham School District","152"
"8","30407","AK","Chugach School District","0200800","Chugach School District","510"
"9","40426","AK","City and Borough of Juneau School District","0200210","Juneau Borough School District","4725"
"10","30411","AK","Copper River School District","0200070","Copper River School District","446"
"11","44336","AK","Cordova School District","0200060","Cordova City School District","336"
"12","31603","AK","Craig City School District","0200090","Craig City School District","560"
"13","223681","AK","Denali Borough School District","0200770","Denali Borough School District","993"
"14","31592","AK","Dillingham City School District","0200120","Dillingham City School District","442"
"15","40268","AK","Fairbanks North Star Borough School District","0200600","Fairbanks North Star Borough School District","13319"
"16","31610","AK","Galena City School District","0200130","Galena City School District","5326"
"17","31606","AK","Hoonah City School District","0200300","Hoonah City School District","127"
"18","65139","AK","Hydaburg City School District","0200330","Hydaburg City School District","112"
"19","30412","AK","Iditarod Area School District","0200520","Iditarod Area School District","320"
"20","40239","AK","Kake City School District","0200360","Kake City School District","103"
"21","30415","AK","Kashunamiut School District","0200005","Kashunamiut School District","313"
"22","31578","AK","Kenai Peninsula Borough School District","0200390","Kenai Peninsula Borough School District","8774"
"23","31580","AK","Ketchikan Gateway Borough School District","0200150","Ketchikan Gateway Borough School District","2291"
"24","45184","AK","Klawock City School District","0200450","Klawock City School District","131"
"25","31584","AK","Kodiak Island Borough School District","0200480","Kodiak Island Borough School District","2308"
"26","30404","AK","Kuspuk School District","0200760","Kuspuk School District","406"
"27","31588","AK","lake and peninsula school district","0200485","Lake and Peninsula Borough School District","361"
"28","223683","AK","Lower Kuskokwim School District","0200001","Lower Kuskokwim School District","4245"
"29","30409","AK","Lower Yukon School District","0200003","Lower Yukon School District","2027"
"30","48865","AK","Nenana City School District","0200540","Nenana City School District","1442"
"31","40367","AK","Nome Public Schools","0200570","Nome Public Schools","710"
"32","31586","AK","North Slope Borough School District","0200610","North Slope Borough School District","2170"
"33","31582","AK","Northwest Arctic Borough School District","0200625","Northwest Arctic Borough School District","2097"
"34","64747","AK","Petersburg School District","0200660","Petersburg Borough School District","469"
"35","30401","AK","Pribilof School District","0200670","Pribilof School District","65"
"36","31605","AK","Sitka School District","0200240","Sitka School District","1203"
"37","65158","AK","Southeast Island School District","0200700","Southeast Island School District","175"
"38","30403","AK","Southwest Region Schools","0200710","Southwest Region School District","636"
"39","167076","AK","Valdez City Schools","0200780","Valdez City School District","718"
"40","30413","AK","Yukon Flats School District","0200775","Yukon Flats School District","211"
"41","30402","AK","Yupiit School District","0200004","Yupiit School District","463"
"42","1036511","AL","Alabaster City Board of Education","0100190","Alabaster City","6293"
"43","1017280","AL","Albertville City Board of Education","0100005","Albertville City","5824"
"44","30388","AL","Alexander City Board of Education","0100030","Alexander City","3036"
"45","30326","AL","Andalusia City Board of Education","0100060","Andalusia City","1839"
"46","30311","AL","Anniston City Board of Education","0100090","Anniston City","1887"
"47","1017281","AL","Arab City Board of Education","0100100","Arab City","2696"
"48","66515","AL","Athens City Board of Education","0100120","Athens City","4505"
"49","30337","AL","Attalla City Board of Education","0100180","Attalla City","1490"
"50","30361","AL","Auburn City Board of Education","0100210","Auburn City","8930"
"51","1017588","AL","Autauga County Board of Education","0100240","Autauga County","9120"
"52","30308","AL","Baldwin County Board of Education","0100270","Baldwin County","30602"
"53","93563","AL","Barbour County Board of Education","0100300","Barbour County","703"
"54","30349","AL","Bessemer City Board of Education","0100330","Bessemer City","3524"
"55","1017227","AL","Bibb County Board of Education","0100360","Bibb County","3243"
"56","44946","AL","Birmingham City Board of Education","0100390","Birmingham City","22726"
"57","43842","AL","Blount County Board of Education","0100420","Blount County","7653"
"58","51184","AL","Boaz City Board of Education","0100012","Boaz City","2440"
