"","NCES District ID","State District ID","nces_original_name","county","City","state","student","name"
"1","4833120","TX-015915","NORTHSIDE ISD","Bexar County","SAN ANTONIO","TX",107817,"northside isd"
"2","0803360","CO-0880","School District No. 1 in the county of Denver and State of C","Denver County","DENVER","CO",92143,"school district no. 1 in the county of denver and state of c"
"3","4703180","TN-00190","Davidson County","Davidson County","Nashville","TN",85588,"davidson county"
"4","0804800","CO-1420","Jefferson County School District No. R-1","Jefferson County","GOLDEN","CO",84078,"jefferson county school district no. r-1"
"5","0803450","CO-0900","Douglas County School District No. Re 1","Douglas County","CASTLE ROCK","CO",67305,"douglas county school district no. re 1"
"6","3600103","NY-353100010000","NEW YORK CITY GEOGRAPHIC DISTRICT #31","Richmond County","STATEN ISLAND","NY",64190,"new york city geographic district #31"
"7","0404970","AZ-4235","Mesa Unified District (4235)","Maricopa County","MESA","AZ",62703,"mesa unified district (4235)"
"8","3600077","NY-310200010000","NEW YORK CITY GEOGRAPHIC DISTRICT # 2","New York County","NEW YORK","NY",62229,"new york city geographic district # 2"
"9","3600098","NY-342400010000","NEW YORK CITY GEOGRAPHIC DISTRICT #24","Queens County","CORONA","NY",57745,"new york city geographic district #24"
"10","0802910","CO-0130","Cherry Creek School District No. 5 in the county of Arapah","Arapahoe County","GREENWOOD VILLAGE","CO",56228,"cherry creek school district no. 5 in the county of arapah"
"11","0102370","AL-049","Mobile County","Mobile County","Mobile","AL",53941,"mobile county"
"12","3600087","NY-321000010000","NEW YORK CITY GEOGRAPHIC DISTRICT #10","Bronx County","BRONX","NY",53277,"new york city geographic district #10"
"13","3600151","NY-332000010000","NEW YORK CITY GEOGRAPHIC DISTRICT #20","Kings County","BROOKLYN","NY",52014,"new york city geographic district #20"
"14","4110040","OR-00000000002180","Portland SD 1J","Multnomah County","Portland","OR",48601,"portland sd 1j"
"15","3600123","NY-342700010000","NEW YORK CITY GEOGRAPHIC DISTRICT #27","Queens County","OZONE PARK","NY",46242,"new york city geographic district #27"
"16","0200180","AK-05","Anchorage School District","Anchorage Municipality","Anchorage","AK",46143,"anchorage school district"
"17","0401870","AZ-4242","Chandler Unified District #80 (4242)","Maricopa County","CHANDLER","AZ",45749,"chandler unified district #80 (4242)"
"18","0408800","AZ-4403","Tucson Unified District (4403)","Pima County","TUCSON","AZ",45036,"tucson unified district (4403)"
"19","3600100","NY-342800010000","NEW YORK CITY GEOGRAPHIC DISTRICT #28","Queens County","JAMAICA","NY",41318,"new york city geographic district #28"
