"","ncesID","nces_original_name","county_name","city","state","students"
"1","4833120","NORTHSIDE ISD","Bexar County","SAN ANTONIO","TX",107817
"2","4703180","Davidson County","Davidson County","Nashville","TN",85588
"3","3600103","NEW YORK CITY GEOGRAPHIC DISTRICT #31","Richmond County","STATEN ISLAND","NY",64190
"4","3600077","NEW YORK CITY GEOGRAPHIC DISTRICT # 2","New York County","NEW YORK","NY",62229
"5","3600098","NEW YORK CITY GEOGRAPHIC DISTRICT #24","Queens County","CORONA","NY",57745
"6","3600087","NEW YORK CITY GEOGRAPHIC DISTRICT #10","Bronx County","BRONX","NY",53277
"7","3600151","NEW YORK CITY GEOGRAPHIC DISTRICT #20","Kings County","BROOKLYN","NY",52014
"8","4110040","Portland SD 1J","Multnomah County","Portland","OR",48601
"9","3600123","NEW YORK CITY GEOGRAPHIC DISTRICT #27","Queens County","OZONE PARK","NY",46242
"10","3600100","NEW YORK CITY GEOGRAPHIC DISTRICT #28","Queens County","JAMAICA","NY",41318
"11","1602100","JOINT SCHOOL DISTRICT NO. 2","Ada County","MERIDIAN","ID",40600
"12","0802340","Aurora Joint District No. 28 of the counties of Adams and A","Arapahoe County","AURORA","CO",40088
"13","3600102","NEW YORK CITY GEOGRAPHIC DISTRICT #30","Queens County","LONG ISLAND CITY","NY",39165
"14","3600088","NEW YORK CITY GEOGRAPHIC DISTRICT #11","Bronx County","BRONX","NY",38445
"15","1713710","SD U-46","Kane County","Elgin","IL",37266
"16","3600122","NEW YORK CITY GEOGRAPHIC DISTRICT #25","Queens County","FLUSHING","NY",37183
"17","4703030","Montgomery County","Montgomery County","Clarksville","TN",36582
"18","2733840","ST. PAUL PUBLIC SCHOOL DISTRICT","Ramsey County","SAINT PAUL","MN",36004
"19","3600152","NEW YORK CITY GEOGRAPHIC DISTRICT #21","Kings County","BROOKLYN","NY",35432
"20","3600153","NEW YORK CITY GEOGRAPHIC DISTRICT #22","Kings County","BROOKLYN","NY",34778
"21","3600086","NEW YORK CITY GEOGRAPHIC DISTRICT # 9","Bronx County","BRONX","NY",33752
"22","3600092","NEW YORK CITY GEOGRAPHIC DISTRICT #15","Kings County","BROOKLYN","NY",31975
"23","3600099","NEW YORK CITY GEOGRAPHIC DISTRICT #26","Queens County","BAYSIDE","NY",31826
"24","3404590","Elizabeth Public Schools","Union County","Elizabeth","NJ",29021
"25","3600085","NEW YORK CITY GEOGRAPHIC DISTRICT # 8","Bronx County","BRONX","NY",27901
"26","3600101","NEW YORK CITY GEOGRAPHIC DISTRICT #29","Queens County","QUEENS VILLAGE","NY",26451
"27","4500720","Aiken 01","Aiken County","Aiken","SC",24184
"28","4400900","Providence","Providence County","Providence","RI",23836
"29","3600120","NEW YORK CITY GEOGRAPHIC DISTRICT #19","Kings County","BROOKLYN","NY",22893
"30","0804410","GreeleySchool District No. 6 in the county of Weld and Sta","Weld County","GREELEY","CO",22544
"31","3600078","NEW YORK CITY GEOGRAPHIC DISTRICT # 3","New York County","NEW YORK","NY",21832
"32","3600090","NEW YORK CITY GEOGRAPHIC DISTRICT #12","Bronx County","BRONX","NY",21583
"33","3600083","NEW YORK CITY GEOGRAPHIC DISTRICT # 6","New York County","NEW YORK","NY",21095
"34","3600095","NEW YORK CITY GEOGRAPHIC DISTRICT #17","Kings County","BROOKLYN","NY",21051
"35","3600091","NEW YORK CITY GEOGRAPHIC DISTRICT #13","Kings County","BROOKLYN","NY",20961
"36","3600084","NEW YORK CITY GEOGRAPHIC DISTRICT # 7","Bronx County","BRONX","NY",18949
"37","2908370","FT. ZUMWALT R-II","St. Charles County","O'FALLON","MO",17765
"38","4220040","Reading SD","Berks County","Reading","PA",17675
"39","3600119","NEW YORK CITY GEOGRAPHIC DISTRICT #14","Kings County","BROOKLYN","NY",17604
"40","4104740","Eugene SD 4J","Lane County","Eugene","OR",17331
"41","4503900","York 04","York County","Fort Mill","SC",16977
"42","1810290","South Bend Community School Corp","St. Joseph County","South Bend","IN",16725
"43","1805670","MSD LAWRENCE TOWNSHIP","Marion County","Indianapolis","IN",16165
"44","1001300","Red Clay Consolidated School District","New Castle County","Wilmington","DE",15520
"45","0635430","Santa Clara Unified","Santa Clara County","Santa Clara","CA",15306
"46","0625150","Modesto City High","Stanislaus County","Modesto","CA",15160
"47","0805310","Littleton School District No. 6 in the county of Arapahoe","Arapahoe County","LITTLETON","CO",14988
"48","0506330","FORT SMITH SCHOOL DISTRICT","Sebastian County","FORT SMITH","AR",14748
"49","2905310","BLUE SPRINGS R-IV","Jackson County","BLUE SPRINGS","MO",14669
"50","1812090","Vigo County School Corp","Vigo County","Terre Haute","IN",14642
"51","4108040","Medford SD 549C","Jackson County","Medford","OR",14498
"52","5103300","ROANOKE CITY PBLC SCHS","Roanoke city","Roanoke","VA",14039
"53","3600096","NEW YORK CITY GEOGRAPHIC DISTRICT #18","Kings County","BROOKLYN","NY",13941
"54","1000200","Christina School District","New Castle County","Wilmington","DE",13370
"55","1804320","School City of Hammond","Lake County","Hammond","IN",12854
"56","3600079","NEW YORK CITY GEOGRAPHIC DISTRICT # 4","New York County","NEW YORK","NY",12778
"57","3406540","Hamilton Township Public School District","Mercer County","Hamilton","NJ",11841
"58","1812360","MSD WARREN TOWNSHIP","Marion County","Indianapolis","IN",11830
"59","1000080","Appoquinimink School District","New Castle County","Odessa","DE",11737
"60","1807410","New Albany-Floyd Co Con Sch","Floyd County","New Albany","IN",11702
"61","0804530","Harrison School District No. 2 in the county of El Paso an","El Paso County","COLORADO SPRINGS","CO",11543
"62","1800360","Bartholomew Con School Corp","Bartholomew County","Columbus","IN",11499
"63","2717780","LAKEVILLE PUBLIC SCHOOL DISTRICT","Dakota County","LAKEVILLE","MN",11444
"64","3600081","NEW YORK CITY GEOGRAPHIC DISTRICT # 5","New York County","NEW YORK","NY",11430
"65","1808760","Penn-Harris-Madison School Corp","St. Joseph County","Mishawaka","IN",11373
"66","1808910","MSD PIKE TOWNSHIP","Marion County","Indianapolis","IN",11274
"67","1800630","Monroe County Community Sch Corp","Monroe County","Bloomington","IN",11182
"68","4700147","Achievement School District","Davidson County","Nashville","TN",11169
"69","1812720","MSD WASHINGTON TOWNSHIP","Marion County","Indianapolis","IN",11157
"70","3600097","NEW YORK CITY GEOGRAPHIC DISTRICT #32","Kings County","BROOKLYN","NY",11128
"71","3304980","Nashua School District","Hillsborough County","Nashua","NH",11082
"72","0624600","Merced City Elementary","Merced County","Merced","CA",11079
"73","4110520","Reynolds SD 7","Multnomah County","Fairview","OR",11071
"74","0900002","Connecticut Technical Education and Career System","Middlesex County","Hartford","CT",10993
"75","1000680","Indian River School District","Sussex County","Selbyville","DE",10942
"76","0635830","Santa Rosa High","Sonoma County","Santa Rosa","CA",10941
"77","1807650","Noblesville Schools","Hamilton County","Noblesville","IN",10676
"78","1001240","Brandywine School District","New Castle County","Wilmington","DE",10548
"79","6000030","American Samoa Department of Education","Eastern District","Pago Pago","AS",10448
"80","3170110","ELKHORN PUBLIC SCHOOLS","Douglas County","ELKHORN","NE",10322
"81","1803940","Greater Clark County Schools","Clark County","Jeffersonville","IN",10310
"82","1803750","Franklin Township Com Sch Corp","Marion County","Indianapolis","IN",10305
"83","1812390","Warrick County School Corp","Warrick County","Boonville","IN",10162
"84","3100016","GRAND ISLAND PUBLIC SCHOOLS","Hall County","GRAND ISLAND","NE",10070
"85","1000230","Colonial School District","New Castle County","New Castle","DE",9921
"86","4818150","EDGEWOOD ISD","Bexar County","SAN ANTONIO","TX",9887
"87","1800270","Avon Community School Corp","Hendricks County","Avon","IN",9871
"88","0642120","Westside Union Elementary","Los Angeles County","Quartz Hill","CA",9686
"89","0806480","School District No. 3 in the county of El Paso and State of","El Paso County","COLORADO SPRINGS","CO",9669
"90","1603240","TWIN FALLS DISTRICT","Twin Falls County","TWIN FALLS","ID",9654
"91","3600121","NEW YORK CITY GEOGRAPHIC DISTRICT #23","Kings County","BROOKLYN","NY",9617
"92","1805450","Lake Central School Corporation","Lake County","Saint John","IN",9587
"93","3410110","MIDDLETOWN TOWNSHIP PUBLIC SCHOOL DISTRICT","Monmouth County","Middletown","NJ",9587
"94","1801020","Brownsburg Community School Corp","Hendricks County","Brownsburg","IN",9453
"95","0636390","Sequoia Union High","San Mateo County","Redwood City","CA",9052
"96","2718780","MANKATO PUBLIC SCHOOL DISTRICT","Blue Earth County","MANKATO","MN",9021
"97","1801440","Center Grove Community School Corp","Johnson County","Greenwood","IN",8876
"98","2714220","EDEN PRAIRIE PUBLIC SCHOOL DISTRICT","Hennepin County","EDEN PRAIRIE","MN",8826
"99","1802490","Crown Point Community School Corp","Lake County","Crown Point","IN",8795
"100","2201830","Vernon Parish","Vernon Parish","Leesville","LA",8541
"101","0804080","Fountain School District No. 8 in the county of El Paso an","El Paso County","FOUNTAIN","CO",8529
"102","2711250","EDINA PUBLIC SCHOOL DISTRICT","Hennepin County","EDINA","MN",8445
"103","4503840","York 02","York County","Clover","SC",8295
"104","1000180","Caesar Rodney School District","Kent County","Wyoming","DE",8183
"105","4702130","Johnson City","Washington County","Johnson City","TN",8098
"106","1805400","Lafayette School Corporation","Tippecanoe County","Lafayette","IN",8060
"107","1808250","Northwest Allen County Schools","Allen County","Fort Wayne","IN",7857
"108","1800030","MSD SOUTHWEST ALLEN COUNTY SCHLS","Allen County","Fort Wayne","IN",7685
"109","0641580","Washington Unified","Yolo County","West Sacramento","CA",7646
"110","3407230","Hillsborough Township Public School District","Somerset County","Hillsborough","NJ",7489
"111","2005490","De Soto","Johnson County","De Soto","KS",7467
"112","1802830","Zionsville Community Schools","Boone County","Zionsville","IN",7435
"113","1809150","Portage Township Schools","Porter County","Portage","IN",7349
"114","2918690","LINDBERGH SCHOOLS","St. Louis County","St. Louis","MO",7236
"115","1801890","Clark-Pleasant Community Sch Corp","Johnson County","Whiteland","IN",6979
"116","1812420","Warsaw Community Schools","Kosciusko County","Warsaw","IN",6957
"117","3410500","Monroe Township School District","Middlesex County","MONROE TOWNSHIP","NJ",6895
"118","1802640","MSD DECATUR TOWNSHIP","Marion County","Indianapolis","IN",6825
"119","0612070","El Dorado Union High","El Dorado County","Placerville","CA",6814
"120","3600094","NEW YORK CITY GEOGRAPHIC DISTRICT #16","Kings County","BROOKLYN","NY",6814
"121","1800150","Anderson Community School Corp","Madison County","Anderson","IN",6811
"122","2706090","BRAINERD PUBLIC SCHOOL DISTRICT","Crow Wing County","BRAINERD","MN",6782
"123","2309930","Portland Public Schools","Cumberland County","Portland","ME",6779
"124","1803930","Goshen Community Schools","Elkhart County","Goshen","IN",6622
"125","2930450","TROY R-III","Lincoln County","TROY","MO",6565
"126","1000190","Capital School District","Kent County","Dover","DE",6491
"127","4226820","York City SD","York County","York","PA",6389
"128","1809690","Merrillville Community School Corp","Lake County","Merrillville","IN",6336
"129","1811970","Valparaiso Community Schools","Porter County","Valparaiso","IN",6278
"130","3904993","Plain Local","Stark County","Canton","OH",6245
"131","2916770","KIRKWOOD R-VII","St. Louis County","KIRKWOOD","MO",6215
"132","2201890","Webster Parish","Webster Parish","Minden","LA",5941
"133","1001620","Smyrna School District","Kent County","Smyrna","DE",5882
"134","1301680","City Schools of Decatur","DeKalb County","Decatur","GA",5874
"135","0618870","Jefferson Elementary","San Mateo County","Daly City","CA",5862
"136","1000170","Cape Henlopen School District","Sussex County","Lewes","DE",5860
"137","3406270","Hackensack School District","Bergen County","Hackensack","NJ",5790
"138","4106300","Hermiston SD 8","Umatilla County","Hermiston","OR",5740
"139","0639930","Tulare Joint Union High","Tulare County","Tulare","CA",5686
"140","4211760","Hempfield Area SD","Westmoreland County","Greensburg","PA",5516
"141","7800002","Saint Croix School District","St. Croix Island","Saint Croix","VI",5492
"142","1806570","Michigan City Area Schools","LaPorte County","Michigan City","IN",5474
"143","3003900","Billings H S","Yellowstone County","Billings","MT",5473
"144","2307320","Lewiston Public Schools","Androscoggin County","Lewiston","ME",5449
"145","2915600","JACKSON R-II","Cape Girardeau County","JACKSON","MO",5430
"146","7800030","Saint Thomas - Saint John School District","St. Thomas Island","Saint Thomas","VI",5415
"147","0630250","Petaluma Joint Union High","Sonoma County","Petaluma","CA",5296
"148","2704440","BEMIDJI PUBLIC SCHOOL DISTRICT","Beltrami County","BEMIDJI","MN",5290
"149","4400330","East Providence","Providence County","East Providence","RI",5251
"150","1810080","Seymour Community Schools","Jackson County","Seymour","IN",5229
"151","1713320","East St Louis SD 189","St. Clair County","East Saint Louis","IL",5209
"152","1200002","FL VIRTUAL","Orange County","ORLANDO","FL",5130
"153","1804710","Huntington Co Com Sch Corp","Huntington County","Warren","IN",5089
"154","2928920","ST. CHARLES R-VI","St. Charles County","ST CHARLES","MO",5039
"155","0635810","Santa Rosa Elementary","Sonoma County","Santa Rosa","CA",4903
"156","3170710","FREMONT PUBLIC SCHOOLS","Dodge County","FREMONT","NE",4869
"157","4102940","Central Point SD 6","Jackson County","Central Point","OR",4863
"158","1803870","Gary Community School Corp","Lake County","Gary","IN",4850
"159","4846500","WYLIE ISD","Taylor County","ABILENE","TX",4783
"160","2931530","WEBSTER GROVES","St. Louis County","WEBSTER GROVES","MO",4681
"161","1807860","North Lawrence Com Schools","Lawrence County","Bedford","IN",4670
"162","1001280","New Castle County Vocational-Technical School District","New Castle County","Wilmington","DE",4615
"163","0635600","Santa Cruz City High","Santa Cruz County","Santa Cruz","CA",4574
"164","2636540","Wyandotte School District of the City of","Wayne County","WYANDOTTE","MI",4562
"165","1804050","Greenfield-Central Com Schools","Hancock County","Greenfield","IN",4498
"166","0607950","Central Elementary","San Bernardino County","Rancho Cucamonga","CA",4449
"167","2801740","HANCOCK CO SCHOOL DIST","Hancock County","Kiln","MS",4437
"168","2626190","Oak Park School District of the City of","Oakland County","OAK PARK","MI",4429
"169","1807140","Mooresville Con School Corp","Morgan County","Mooresville","IN",4412
"170","4503908","Marion 10","Marion County","Marion","SC",4364
"171","1806510","MSD MARTINSVILLE SCHOOLS","Morgan County","Martinsville","IN",4340
"172","1810440","South Madison Com Sch Corp","Madison County","Pendleton","IN",4333
"173","1806030","Logansport Community Sch Corp","Cass County","Logansport","IN",4304
"174","1811730","Union School Corporation","Randolph County","Modoc","IN",4279
"175","3305940","Rochester School District","Strafford County","Rochester","NH",4257
"176","2913140","GRANDVIEW C-4","Jackson County","GRANDVIEW","MO",4256
"177","1001080","Milford School District","Sussex County","Milford","DE",4244
"178","2917820","LADUE","St. Louis County","ST LOUIS","MO",4228
"179","3905001","Green Local","Summit County","Green","OH",4209
"180","4108820","North Bend SD 13","Coos County","North Bend","OR",4200
"181","1601590","JEROME JOINT DISTRICT","Jerome County","JEROME","ID",4184
"182","1810140","Shelbyville Central Schools","Shelby County","Shelbyville","IN",4178
"183","1805190","Jennings County School Corporation","Jennings County","North Vernon","IN",4173
"184","4104500","Eagle Point SD 9","Jackson County","Eagle Point","OR",4157
"185","1800840","Clay Community Schools","Clay County","Brazil","IN",4141
"186","3100022","NORTH PLATTE PUBLIC SCHOOLS","Lincoln County","NORTH PLATTE","NE",4117
"187","1804590","School City of Hobart","Lake County","Hobart","IN",4088
"188","0512210","SEARCY SCHOOL DISTRICT","White County","SEARCY","AR",4017
"189","2628740","Pontiac City School District","Oakland County","PONTIAC","MI",4011
"190","4501920","Dillon 04","Dillon County","Dillon","SC",4006
"191","3628950","TROY CITY SCHOOL DISTRICT","Rensselaer County","TROY","NY",3998
"192","3302640","Dover School District","Strafford County","Dover","NH",3966
"193","2507350","Marshfield","Plymouth County","Marshfield","MA",3960
"194","0602450","Amador County Unified","Amador County","Jackson","CA",3958
"195","5507290","Kaukauna Area School District","Outagamie County","Kaukauna","WI",3936
"196","4217520","Northeastern York SD","York County","Manchester","PA",3892
"197","3408400","Lawrence Township Public School District","Mercer County","Lawrenceville","NJ",3880
