"","state","n"
"1","MO",287
"2","NY",265
"3","IN",212
"4","KS",207
"5","WI",196
"6","MN",187
"7","ME",167
"8","AZ",130
"9","NH",121
"10","SD",120
"11","MT",119
"12","WA",88
"13","CO",87
"14","NM",81
"15","PA",74
"16","IL",69
"17","ID",58
"18","OH",55
"19","CA",54
"20","OR",49
"21","NJ",44
"22","MI",41
"23","VT",39
"24","NE",28
"25","WY",27
"26","ND",20
"27","DE",19
"28","MS",19
"29","TX",17
"30","SC",11
"31","OK",11
"32","TN",10
"33","RI",9
"34","CT",9
"35","FL",8
"36","MA",8
"37","NC",7
"38","LA",7
"39","NV",7
"40","KY",6
"41","AR",6
"42","IA",6
"43","VA",3
"44","UT",2
"45","GA",2
"46","MD",2
"47","VI",2
"48","AS",1
"49","AK",1
