"","ncesID","nces_original_name","county_name","city","state","students","id"
"1","5100840","CHESTERFIELD CO PBLC SCHS","Chesterfield County","Chesterfield","VA",62614,NA
"2","3174820","OMAHA PUBLIC SCHOOLS","Douglas County","OMAHA","NE",53483,NA
"3","5101890","HENRICO CO PBLC SCHS","Henrico County","Henrico","VA",51786,NA
"4","1100030","District of Columbia Public Schools","District of Columbia","Washington","DC",50971,NA
"5","2502790","Boston","Suffolk County","Roxbury","MA",50480,NA
"6","4110040","Portland SD 1J","Multnomah County","Portland","OR",48601,NA
"7","4110820","Salem-Keizer SD 24J","Marion County","Salem","OR",41792,NA
"8","5100810","CHESAPEAKE CITY PBLC SCHS","Chesapeake city","Chesapeake","VA",41597,NA
"9","1602100","JOINT SCHOOL DISTRICT NO. 2","Ada County","MERIDIAN","ID",40600,NA
"10","0802340","Aurora Joint District No. 28 of the counties of Adams and A","Arapahoe County","AURORA","CO",40088,NA
"11","1713710","SD U-46","Kane County","Elgin","IL",37266,NA
"12","4703030","Montgomery County","Montgomery County","Clarksville","TN",36582,NA
"13","2733840","ST. PAUL PUBLIC SCHOOL DISTRICT","Ramsey County","SAINT PAUL","MN",36004,NA
"14","0805370","St. Vrain Valley School District No. Re1J","Boulder County","LONGMONT","CO",32855,NA
"15","5102670","NORFOLK CITY PBLC SCHS","Norfolk city","Norfolk","VA",29837,NA
"16","3404590","Elizabeth Public Schools","Union County","Elizabeth","NJ",29021,NA
"17","5102640","NEWPORT NEWS CITY PBLC SCHS","Newport News city","Newport News","VA",28650,NA
"18","5100270","ARLINGTON CO PBLC SCHS","Arlington County","Arlington","VA",28151,NA
"19","0801920","Academy School District No. 20 in the county of El Paso an","El Paso County","COLORADO SPRINGS","CO",26603,NA
"20","5103240","RICHMOND CITY PBLC SCHS","Richmond city","Richmond","VA",25211,NA
"21","2513230","Worcester","Worcester County","Worcester","MA",25044,NA
"22","2511130","Springfield","Hampden County","Springfield","MA",25007,NA
"23","4500720","Aiken 01","Aiken County","Aiken","SC",24184,NA
"24","5103640","SPOTSYLVANIA CO PBLC SCHS","Spotsylvania County","Fredericksburg","VA",23882,NA
"25","4400900","Providence","Providence County","Providence","RI",23836,NA
"26","0804410","GreeleySchool District No. 6 in the county of Weld and Sta","Weld County","GREELEY","CO",22544,NA
"27","2926850","ROCKWOOD R-VI","St. Louis County","EUREKA","MO",21216,NA
"28","0902790","New Haven School District","New Haven County","New Haven","CT",20468,NA
"29","4100023","Hillsboro SD 1J","Washington County","Hillsboro","OR",20317,NA
"30","0900450","Bridgeport School District","Fairfield County","Bridgeport","CT",20111,NA
"31","5101800","HAMPTON CITY PBLC SCHS","Hampton city","Hampton","VA",19589,NA
"32","0802580","School District 27J","Adams County","BRIGHTON","CO",19275,NA
"33","0904830","Waterbury School District","New Haven County","Waterbury","CT",18697,NA
"34","2400600","St. Mary's County Public Schools","St. Mary's County","Leonardtown","MD",18083,NA
"35","0901920","Hartford School District","Hartford County","Hartford","CT",18081,NA
"36","2923580","PARKWAY C-2","St. Louis County","CHESTERFIELD","MO",17864,NA
"37","2908370","FT. ZUMWALT R-II","St. Charles County","O'FALLON","MO",17765,NA
"38","2931650","WENTZVILLE R-IV","St. Charles County","WENTZVILLE","MO",17736,NA
"39","4220040","Reading SD","Berks County","Reading","PA",17675,NA
"40","4503870","York 03","York County","Rock Hill","SC",17594,NA
"41","5101830","HANOVER CO PBLC SCHS","Hanover County","Ashland","VA",17541,NA
"42","2928950","FRANCIS HOWELL R-III","St. Charles County","ST CHARLES","MO",17519,NA
"43","4502820","Lexington 05","Richland County","Irmo","SC",17494,NA
"44","4104740","Eugene SD 4J","Lane County","Eugene","OR",17331,NA
"45","4503900","York 04","York County","Fort Mill","SC",16977,NA
"46","1810290","South Bend Community School Corp","St. Joseph County","South Bend","IN",16725,NA
"47","0904320","Stamford School District","Fairfield County","Stamford","CT",16479,NA
"48","1805670","MSD LAWRENCE TOWNSHIP","Marion County","Indianapolis","IN",16165,NA
"49","2507110","Lynn","Essex County","Lynn","MA",16088,NA
"50","0511970","ROGERS SCHOOL DISTRICT","Benton County","ROGERS","AR",16053,NA
"51","2503090","Brockton","Plymouth County","Brockton","MA",16024,NA
"52","1001300","Red Clay Consolidated School District","New Castle County","Wilmington","DE",15520,NA
"53","0635430","Santa Clara Unified","Santa Clara County","Santa Clara","CA",15306,NA
"54","0625150","Modesto City High","Stanislaus County","Modesto","CA",15160,NA
"55","0805310","Littleton School District No. 6 in the county of Arapahoe","Arapahoe County","LITTLETON","CO",14988,NA
"56","0506330","FORT SMITH SCHOOL DISTRICT","Sebastian County","FORT SMITH","AR",14748,NA
"57","2905310","BLUE SPRINGS R-IV","Jackson County","BLUE SPRINGS","MO",14669,NA
"58","1812090","Vigo County School Corp","Vigo County","Terre Haute","IN",14642,NA
"59","4108040","Medford SD 549C","Jackson County","Medford","OR",14498,NA
"60","2507020","Lowell","Middlesex County","Lowell","MA",14434,NA
"61","5100090","ALBEMARLE CO PBLC SCHS","Charlottesville city","Charlottesville","VA",14404,NA
"62","5103710","SUFFOLK CITY PBLC SCHS","Suffolk city","Suffolk","VA",14322,NA
"63","5103300","ROANOKE CITY PBLC SCHS","Roanoke city","Roanoke","VA",14039,NA
"64","5103330","ROANOKE CO PBLC SCHS","Roanoke County","Roanoke","VA",13999,NA
"65","5103000","PORTSMOUTH CITY PBLC SCHS","Portsmouth city","Portsmouth","VA",13991,NA
"66","5101470","FREDERICK CO PBLC SCHS","Winchester city","Winchester","VA",13875,NA
"67","2506660","Lawrence","Essex County","Lawrence","MA",13550,NA
"68","1000200","Christina School District","New Castle County","Wilmington","DE",13370,NA
"69","1301980","Effingham County","Effingham County","Springfield","GA",12966,NA
"70","1731230","Peoria SD 150","Peoria County","Peoria","IL",12924,NA
"71","2508430","New Bedford","Bristol County","New Bedford","MA",12880,NA
"72","1804320","School City of Hammond","Lake County","Hammond","IN",12854,NA
"73","2508610","Newton","Middlesex County","Newtonville","MA",12779,NA
"74","4112240","Tigard-Tualatin SD 23J","Washington County","Tigard","OR",12625,NA
"75","1602640","POCATELLO DISTRICT","Bannock County","POCATELLO","ID",12502,NA
"76","1737170","St Charles CUSD 303","Kane County","Saint Charles","IL",12248,NA
"77","4106000","Gresham-Barlow SD 10J","Multnomah County","Gresham","OR",11945,NA
"78","1730420","Palatine CCSD 15","Cook County","Palatine","IL",11912,NA
"79","5103390","ROCKINGHAM CO PBLC SCHS","Harrisonburg city","Harrisonburg","VA",11911,NA
"80","0901020","Danbury School District","Fairfield County","Danbury","CT",11903,NA
"81","1704710","Aurora West USD 129","Kane County","Aurora","IL",11841,NA
"82","3406540","Hamilton Township Public School District","Mercer County","Hamilton","NJ",11841,NA
"83","1812360","MSD WARREN TOWNSHIP","Marion County","Indianapolis","IN",11830,NA
"84","1000080","Appoquinimink School District","New Castle County","Odessa","DE",11737,NA
"85","1807410","New Albany-Floyd Co Con Sch","Floyd County","New Albany","IN",11702,NA
"86","0903090","Norwalk School District","Fairfield County","Norwalk","CT",11642,NA
"87","0804530","Harrison School District No. 2 in the county of El Paso an","El Paso County","COLORADO SPRINGS","CO",11543,NA
"88","3806780","FARGO 1","Cass County","Fargo","ND",11520,NA
"89","1800360","Bartholomew Con School Corp","Bartholomew County","Columbus","IN",11499,NA
"90","2717780","LAKEVILLE PUBLIC SCHOOL DISTRICT","Dakota County","LAKEVILLE","MN",11444,NA
"91","3819410","WEST FARGO 6","Cass County","West Fargo","ND",11432,NA
"92","1808760","Penn-Harris-Madison School Corp","St. Joseph County","Mishawaka","IN",11373,NA
"93","2912300","FOX C-6","Jefferson County","ARNOLD","MO",11326,NA
"94","1808910","MSD PIKE TOWNSHIP","Marion County","Indianapolis","IN",11274,NA
"95","1800630","Monroe County Community Sch Corp","Monroe County","Bloomington","IN",11182,NA
"96","5101320","FAUQUIER CO PBLC SCHS","Fauquier County","Warrenton","VA",11181,NA
"97","4700147","Achievement School District","Davidson County","Nashville","TN",11169,NA
"98","2711670","MINNETONKA PUBLIC SCHOOL DISTRICT","Hennepin County","MINNETONKA","MN",11168,NA
"99","1812720","MSD WASHINGTON TOWNSHIP","Marion County","Indianapolis","IN",11157,NA
"100","3304980","Nashua School District","Hillsborough County","Nashua","NH",11082,NA
"101","0624600","Merced City Elementary","Merced County","Merced","CA",11079,NA
"102","4110520","Reynolds SD 7","Multnomah County","Fairview","OR",11071,NA
"103","1600780","COEUR D'ALENE DISTRICT","Kootenai County","COEUR D'ALENE","ID",11017,NA
"104","0900002","Connecticut Technical Education and Career System","Middlesex County","Hartford","CT",10993,NA
"105","1000680","Indian River School District","Sussex County","Selbyville","DE",10942,NA
"106","0635830","Santa Rosa High","Sonoma County","Santa Rosa","CA",10941,NA
"107","1807650","Noblesville Schools","Hamilton County","Noblesville","IN",10676,NA
"108","1001240","Brandywine School District","New Castle County","Wilmington","DE",10548,NA
"109","4400240","Cranston","Providence County","Cranston","RI",10475,NA
"110","6000030","American Samoa Department of Education","Eastern District","Pago Pago","AS",10448,NA
"111","4209300","Erie City SD","Erie County","Erie","PA",10438,NA
"112","5100300","AUGUSTA CO PBLC SCHS","Augusta County","Verona","VA",10339,NA
"113","3170110","ELKHORN PUBLIC SCHOOLS","Douglas County","ELKHORN","NE",10322,NA
"114","1803940","Greater Clark County Schools","Clark County","Jeffersonville","IN",10310,NA
"115","1803750","Franklin Township Com Sch Corp","Marion County","Indianapolis","IN",10305,NA
"116","2920670","MEHLVILLE R-IX","St. Louis County","ST LOUIS","MO",10281,NA
"117","2504830","Fall River","Bristol County","Fall River","MA",10229,NA
"118","2733510","ST. CLOUD PUBLIC SCHOOL DISTRICT","Stearns County","WAITE PARK","MN",10171,NA
"119","1812390","Warrick County School Corp","Warrick County","Boonville","IN",10162,NA
"120","2621870","L'Anse Creuse Public Schools","Macomb County","Clinton Township","MI",10144,NA
"121","3100016","GRAND ISLAND PUBLIC SCHOOLS","Hall County","GRAND ISLAND","NE",10070,NA
"122","2912010","FERGUSON-FLORISSANT R-II","St. Louis County","Hazelwood","MO",10069,NA
"123","0902670","New Britain School District","Hartford County","New Britain","CT",10032,NA
"124","5102520","MONTGOMERY CO PBLC SCHS","Montgomery County","Christiansburg","VA",10016,NA
"125","4221090","Scranton SD","Lackawanna County","Scranton","PA",9992,NA
"126","1000230","Colonial School District","New Castle County","New Castle","DE",9921,NA
"127","4818150","EDGEWOOD ISD","Bexar County","SAN ANTONIO","TX",9887,NA
"128","1800270","Avon Community School Corp","Hendricks County","Avon","IN",9871,NA
"129","4113170","West Linn-Wilsonville SD 3J","Clackamas County","Tualatin","OR",9808,NA
"130","3626010","SCHENECTADY CITY SCHOOL DISTRICT","Schenectady County","SCHENECTADY","NY",9745,NA
"131","0642120","Westside Union Elementary","Los Angeles County","Quartz Hill","CA",9686,NA
