"","state","tot_student_state","missing_student_state","missing_rate"
"1","AS",10448,10448,1
"2","DE",123566,123566,1
"3","VI",10907,10907,1
"4","IN",999977,630468,0.63
"5","ME",178068,91651,0.51
"6","NY",2533516,1097131,0.43
"7","NH",173063,74725,0.43
"8","MT",148941,40870,0.27
"9","SD",145916,39665,0.27
"10","ID",289559,72153,0.25
"11","RI",134543,34014,0.25
"12","MN",828234,200618,0.24
"13","OR",576883,134185,0.23
"14","KS",498008,109534,0.22
"15","VT",85235,18128,0.21
"16","MO",885446,170856,0.19
"17","CO",891273,139060,0.16
"18","TN",1014744,145005,0.14
"19","NE",329452,47114,0.14
"20","WI",847131,110049,0.13
"21","NJ",1326628,116078,0.09
"22","SC",756211,60049,0.08
"23","WY",94870,7496,0.08
"24","NM",323460,18212,0.06
"25","PA",1567976,92830,0.06
"26","AR",476211,25048,0.05
"27","IL",1939003,68037,0.04
"28","OH",1582409,71057,0.04
"29","ND",119428,5310,0.04
"30","CT",498548,17493,0.04
"31","AZ",947176,26159,0.03
"32","CA",5622896,156511,0.03
"33","MI",1300319,39911,0.03
"34","TX",5158430,129807,0.03
"35","LA",641124,18092,0.03
"36","MS",465954,8846,0.02
"37","WA",1140643,12761,0.01
"38","KY",691847,3726,0.01
"39","IA",517444,4687,0.01
"40","VA",1297012,14234,0.01
"41","MA",900850,9965,0.01
"42","FL",2851401,12832,0
"43","UT",607237,357,0
"44","OK",658586,2566,0
"45","NC",1444190,2145,0
"46","GA",1736458,6207,0
"47","NV",447661,1125,0
"48","MD",909440,437,0
"49","AK",132017,430,0
