,ncesID,nces_original_name,county_name,city,state,students,tot,acfrs_id,
1,506060,CAMDEN FAIRVIEW SCHOOL DIST.,Ouachita County,CAMDEN,AR,2387,2983330,1027241,
2,506330,FORT SMITH SCHOOL DISTRICT,Sebastian County,FORT SMITH,AR,14748,2983330,1027267,
3,512210,SEARCY SCHOOL DISTRICT,White County,SEARCY,AR,4017,2983330,30774,Searcy County School District No. 17
4,6000030,American Samoa Department of Education,Eastern District,Pago Pago,AS,10448,2983330,,
5,407240,Safford Unified District (4218),Graham County,SAFFORD,AZ,3111,2983330,,
6,602450,Amador County Unified,Amador County,Jackson,CA,3958,2983330,31117,Amador County Office of Education
7,607950,Central Elementary,San Bernardino County,Rancho Cucamonga,CA,4449,2983330,146006,Central School District
8,610770,Del Norte County Unified,Del Norte County,Crescent City,CA,3706,2983330,,
9,611910,Eastside Union Elementary,Los Angeles County,Lancaster,CA,3329,2983330,,
10,612070,El Dorado Union High,El Dorado County,Placerville,CA,6814,2983330,,
11,616080,Greenfield Union Elementary,Monterey County,Greenfield,CA,3550,2983330,,
12,618870,Jefferson Elementary,San Mateo County,Daly City,CA,5862,2983330,,
13,618840,Jefferson Elementary,San Joaquin County,Tracy,CA,2287,2983330,,
14,624600,Merced City Elementary,Merced County,Merced,CA,11079,2983330,,
15,625150,Modesto City High,Stanislaus County,Modesto,CA,15160,2983330,,
16,626220,Mountain View Elementary,San Bernardino County,Ontario,CA,2540,2983330,,
17,628170,Ocean View,Ventura County,Oxnard,CA,2452,2983330,,
18,630250,Petaluma Joint Union High,Sonoma County,Petaluma,CA,5296,2983330,,
19,621450,Richland Union Elementary,Kern County,Shafter,CA,2851,2983330,,
20,635430,Santa Clara Unified,Santa Clara County,Santa Clara,CA,15306,2983330,,
21,635600,Santa Cruz City High,Santa Cruz County,Santa Cruz,CA,4574,2983330,,
22,635810,Santa Rosa Elementary,Sonoma County,Santa Rosa,CA,4903,2983330,,
23,635830,Santa Rosa High,Sonoma County,Santa Rosa,CA,10941,2983330,,
24,636390,Sequoia Union High,San Mateo County,Redwood City,CA,9052,2983330,,
25,639930,Tulare Joint Union High,Tulare County,Tulare,CA,5686,2983330,,
26,641400,Wasco Union Elementary,Kern County,Wasco,CA,3582,2983330,,
27,641580,Washington Unified,Yolo County,West Sacramento,CA,7646,2983330,,
28,642120,Westside Union Elementary,Los Angeles County,Quartz Hill,CA,9686,2983330,,
29,802340,Aurora Joint District No. 28 of the counties of Adams and A,Arapahoe County,AURORA,CO,40088,2983330,,
30,803780,Englewood School District No. 1 in the county of Arapahoe,Arapahoe County,ENGLEWOOD,CO,2634,2983330,,
31,804080,Fountain School District No. 8 in the county of El Paso an,El Paso County,FOUNTAIN,CO,8529,2983330,,
32,804410,GreeleySchool District No. 6 in the county of Weld and Sta,Weld County,GREELEY,CO,22544,2983330,,
33,804530,Harrison School District No. 2 in the county of El Paso an,El Paso County,COLORADO SPRINGS,CO,11543,2983330,,
34,805310,Littleton School District No. 6 in the county of Arapahoe,Arapahoe County,LITTLETON,CO,14988,2983330,,
35,806480,School District No. 3 in the county of El Paso and State of,El Paso County,COLORADO SPRINGS,CO,9669,2983330,,
36,806690,School District No. Re-1 Valley,Logan County,STERLING,CO,2258,2983330,,
37,804050,School District No. Re-3 Fort Morgan,Morgan County,FORT MORGAN,CO,3473,2983330,,
38,900002,Connecticut Technical Education and Career System,Middlesex County,Hartford,CT,10993,2983330,,
39,903537,Regional School District 15,New Haven County,Middlebury,CT,3646,2983330,,
40,1000080,Appoquinimink School District,New Castle County,Odessa,DE,11737,2983330,,
41,1001240,Brandywine School District,New Castle County,Wilmington,DE,10548,2983330,,
42,1000180,Caesar Rodney School District,Kent County,Wyoming,DE,8183,2983330,,
43,1000170,Cape Henlopen School District,Sussex County,Lewes,DE,5860,2983330,,
44,1000190,Capital School District,Kent County,Dover,DE,6491,2983330,,
45,1000200,Christina School District,New Castle County,Wilmington,DE,13370,2983330,,
46,1000230,Colonial School District,New Castle County,New Castle,DE,9921,2983330,,
