"","state","nces_original_name","ncesID","students"
"1","AK","Aleutian Region School District","0200010",29
"2","AK","DELTA/GREELY SCHOOL DISTRICT","0200100",791
"3","AK","Haines Borough School District","0200270",276
"4","AK","Matanuska-Susitna Borough School District","0200510",19502
"5","AK","MOUNT EDGECUMBE","0200006",430
"6","AK","Pelican City School District","0200630",16
"7","AK","Saint Mary's School District","0200680",204
"8","AK","Skagway School District","0200690",140
"9","AK","Tanana City School District","0200715",33
"10","AK","Unalaska City School District","0200720",412
"11","AK","Wrangell Public School District","0200810",308
"12","AK","Yakutat School District","0200840",103
"13","AK","Yukon-Koyukuk School District","0200862",1978
"14","AL","Cullman County","0101020",9349
"15","AL","Geneva City","0101640",1268
"16","AL","Thomasville City","0103300",1160
"17","AR","ARK. SCHOOL FOR THE BLIND","0500035",99
"18","AR","ARK. SCHOOL FOR THE DEAF","0500036",116
"19","AR","ARKANSAS YOUTH SERVICES SCHOOL SYSTEM","0500390",150
"20","AR","BRINKLEY SCHOOL DISTRICT","0503630",511
"21","AR","HARMONY GROVE SCHOOL DISTRICT","0507290",982
"22","AR","HOXIE SCHOOL DISTRICT","0507990",859
"23","AR","MULBERRY SCHOOL DISTRICT","0510290",461
"24","AR","PARKERS CHAPEL SCHOOL DIST.","0511220",881
"25","AR","SEARCY SCHOOL DISTRICT","0512210",4017
"26","AR","SOUTH SIDE SCHOOL DISTRICT","0512570",536
"27","AR","WEST SIDE SCHOOL DISTRICT","0514040",485
"28","AR","WESTSIDE SCHOOL DISTRICT","0514020",637
"29","AS","American Samoa Department of Education","6000030",10448
"30","AZ","Aguila Elementary District (4249)","0400480",145
"31","AZ","Ajo Unified District (4409)","0400520",441
"32","AZ","Alpine Elementary District (4161)","0400630",62
"33","AZ","Antelope Union High School District (4506)","0400720",211
"34","AZ","Apache Elementary District (4178)","0400750",12
"35","AZ","Arizona Department of Corrections (8336)","0400120",180
"36","AZ","Arizona Department of Juvenile Corrections (8326)","0409734",210
"37","AZ","Arizona State Schools for the Deaf and the Blind (6393)","0400463",1019
"38","AZ","Arlington Elementary District (4274)","0400840",260
"39","AZ","Ash Creek Elementary District (4187)","0400870",20
"40","AZ","Ash Fork Joint Unified District (4471)","0400910",261
"41","AZ","Bagdad Unified District (4468)","0401000",491
"42","AZ","Beaver Creek Elementary District (4481)","0401080",338
"43","AZ","Bicentennial Union High School District (4515)","0401160",134
"44","AZ","Black Mesa Community School","5900102",54
"45","AZ","Blue Elementary District (4231)","0401230",8
"46","AZ","Bonita Elementary District (4224)","0401260",100
"47","AZ","Bouse Elementary District (4513)","0401290",35
"48","AZ","Bowie Unified District (4171)","0401330",59
"49","AZ","Canon Elementary District (4484)","0401650",143
"50","AZ","Chilchinbeto Community School","5900052",121
"51","AZ","Clarkdale-Jerome Elementary District (4486)","0400004",485
"52","AZ","Cochise Elementary District (4177)","0402130",88
"53","AZ","Coconino County Accommodation School District (10386)","0400163",104
"54","AZ","Concho Elementary District (4160)","0402190",170
"55","AZ","Congress Elementary District (4479)","0402220",97
"56","AZ","Continental Elementary District (4416)","0402250",678
"57","AZ","Cottonwood Day School","5900032",172
"58","AZ","Cove Day School","5900065",38
"59","AZ","Crown King Elementary District (4483)","0402460",1
