"","ncesID","nces_original_name","county_name","city","state","students"
"1","1700024","A E R O Spec Educ Coop","Cook County","Burbank","IL",213
"2","1700105","A-C Central CUSD 262","Cass County","Ashland","IL",395
"3","2700106","A.C.G.C. Public School District","Meeker County","GROVE CITY","MN",865
"4","2200056","A.E. Phillips Laboratory School","Lincoln Parish","Ruston","LA",410
"5","4500690","Abbeville 60","Abbeville County","Abbeville","SC",2965
"6","5500030","Abbotsford School District","Clark County","Abbotsford","WI",747
"7","4807380","ABBOTT ISD","Hill County","ABBOTT","TX",288
"8","0601620","ABC Unified","Los Angeles County","Cerritos","CA",20269
"9","1600030","ABERDEEN DISTRICT","Bingham County","ABERDEEN","ID",705
"10","2800360","ABERDEEN SCHOOL DIST","Monroe County","Aberdeen","MS",1114
"11","5300030","Aberdeen School District","Grays Harbor County","ABERDEEN","WA",3500
"12","4602070","Aberdeen School District 06-1","Brown County","Aberdeen","SD",4495
"13","4807410","ABERNATHY ISD","Hale County","ABERNATHY","TX",818
"14","2003180","Abilene","Dickinson County","Abilene","KS",1532
"15","4807440","ABILENE ISD","Taylor County","ABILENE","TX",16612
"16","1701413","Abingdon-Avon CUSD 276","Knox County","Abingdon","IL",964
"17","2501650","Abington","Plymouth County","Abington","MA",2143
"18","4202010","Abington Heights SD","Lackawanna County","Clarks Summit","PA",3425
"19","4202040","Abington SD","Montgomery County","Abington","PA",8534
"20","3001710","Absarokee Elem","Stillwater County","Absarokee","MT",127
"21","3001740","Absarokee H S","Stillwater County","Absarokee","MT",80
"22","3400660","Absecon Public Schools District","Atlantic County","Absecon","NJ",908
"23","4807470","ACADEMY ISD","Bell County","LITTLE RIVER","TX",1723
"24","0801920","Academy School District No. 20 in the county of El Paso an","El Paso County","COLORADO SPRINGS","CO",26603
"25","2200030","Acadia Parish","Acadia Parish","Crowley","LA",9739
"26","0601650","Acalanes Union High","Contra Costa County","Lafayette","CA",5635
"27","5100060","ACCOMACK CO PBLC SCHS","Accomack County","Accomac","VA",5161
"28","4700147","Achievement School District","Davidson County","Nashville","TN",11169
