"","state","name","id","year","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","ncesID","students","county_name","city"
"1","IN","The Bloomington Project School","148225",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1800083","331",NA,NA
"2","AR","Cutter-Morning Star School District No. 21","167118",2021,38919,17090000,38919,0,0,0,5147715,0,0,0,0,0,0,0,17085908,989905,16096003,0,0,0,17085908,"0504860","695","Garland County","HOT SPRINGS"
"3","AR","Dollarway School District No. 2","98673",2021,259483,13050000,259483,0,0,0,13771706,0,0,0,0,0,0,0,28524178,496013,28028165,0,0,0,28524178,"0505410","1020","Jefferson County","PINE BLUFF"
"4","AR","Berryville School District No. 27","98642",2021,393395,26080000,393395,0,0,0,19682212,0,0,0,0,0,0,0,30080176,1841216,28238960,0,0,0,30080176,"0503150","1880","Carroll County","BERRYVILLE"
"5","AR","Blytheville School District No. 5","66843",2021,574558,22065000,574558,0,0,0,10803407,0,0,0,0,0,0,0,27581719,738666,26843053,0,0,0,27581719,"0503320","1900","Mississippi County","BLYTHEVILLE"
"6","AR","Dover School District No. 17","93573",2021,212364,16160000,212364,13254,0,0,13641342,0,0,0,0,0,0,0,32024479,1436618,30587861,0,0,0,32024479,"0505430","1344","Pope County","DOVER"
"7","AR","Bentonville School District No. 6","98641",2021,10507036,324570456,10507036,0,0,284147,205718819,0,0,0,0,0,0,0,360426930,-2916351,363343281,0,0,0,360426930,"0503060","17848","Benton County","BENTONVILLE"
"8","AR","Conway School District No. 1","108515",2021,2597629,145200000,2597629,0,0,0,108310758,0,0,0,0,0,0,0,142104348,332129,141772219,0,0,0,142104348,"0504590","10393","Faulkner County","CONWAY"
"9","AR","Earle School District No. 1","1027254",2021,105446,9675000,105446,31287,0,0,6235340,0,0,0,0,0,0,0,8095492,468471,7627021,0,0,0,8095492,"0505550","540","Crittenden County","EARLE"
"10","AR","Des Arc School District No. 5","98670",2021,92601,6570000,92601,22678,0,0,5609558,0,0,0,0,0,0,0,7912891,-16547,7929438,0,0,0,7912891,"0505190","573","Prairie County","DES ARC"
"11","AR","Eureka Springs School District No. 21","98681",2021,356964,9995000,356964,0,0,0,8428771,0,0,0,0,0,0,0,23504604,-553664,24058268,0,0,0,23504604,"0505970","688","Carroll County","EUREKA SPRINGS"
"12","AR","Marvell School District No. 22","30755",2021,439965,4050000,439965,0,0,0,4889387,0,0,0,0,0,0,0,7869934,930832,6939102,0,0,0,7869934,"0509510","364","Phillips County","MARVELL"
"13","AR","Arkadelphia School District No 1","1027205",2021,153101,19920000,153101,0,0,0,19265446,0,0,0,0,0,0,0,46641500,3208930,43432570,0,0,0,46641500,"0502430","1815","Clark County","ARKADELPHIA"
"14","AR","Sheridan School District No. 37","98787",2021,891133,58780000,891133,0,0,0,40072661,0,0,0,0,0,0,0,91509230,-4411417,95920647,0,0,0,91509230,"0500015","4229","Grant County","SHERIDAN"
"15","AR","Valley View School District No. 58","98801",2021,1614463,45690000,1614463,0,0,0,27037962,0,0,0,0,0,0,0,51037409,3452137,47585272,0,0,0,51037409,"0513380","2965","Craighead County","JONESBORO"
"16","AR","Bauxite School District No.14","98637",2021,698503,12460000,698503,0,0,0,14838966,0,0,0,0,0,0,0,27586768,1176187,26410581,0,0,0,27586768,"0502790","1680","Saline County","BAUXITE"
"17","AR","Vilonia School District No. 17","98803",2021,552257,18810000,552257,0,0,0,33530892,0,0,0,0,0,0,0,40636211,-1295591,41931802,0,0,0,40636211,"0513530","3160","Faulkner County","VILONIA"
"18","AR","Caddo Hills School District No. 28","98651",2021,27694,3005000,27694,0,0,0,5949450,0,0,0,0,0,0,0,7139879,-325776,7465655,0,0,0,7139879,"0503770","586","Montgomery County","NORMAN"
"19","AR","Mountainburg School District No. 16","98754",2021,191756,3020000,191756,0,0,0,7083495,0,0,0,0,0,0,0,16641656,132741,16508915,0,0,0,16641656,"0510260","659","Crawford County","MOUNTAINBURG"
"20","AR","Ouachita River School District","52057",2021,199876,1685000,199876,0,0,0,7693261,0,0,0,0,0,0,0,10127667,823428,9304239,0,0,0,10127667,"0500073","763","Polk County","MENA"
"21","AR","Dawson Educational Cooperative","56143",2021,162254,0,162254,0,0,528542,11096436,0,0,0,0,0,0,0,18527843,1217738,17310105,0,0,0,18527843,"500008","42625",NA,NA
"22","AR","Ozark School District No. 14","98764",2021,156929,19070000,156929,0,0,0,18412030,0,0,0,0,0,0,0,42085905,1423726,40662179,0,0,0,42085905,"0511010","1767","Franklin County","OZARK"
"23","AR","Riverview School District","46045",2021,862087,7910000,862087,65416,0,0,14207044,0,0,0,0,0,0,0,23509723,235929,23273794,0,0,0,23509723,"0508400","1232","White County","SEARCY"
"24","AR","Searcy Special School District","108526",2021,2268609,21625000,2268609,0,0,0,40859800,0,0,0,0,0,0,0,60312944,12056040,48256904,0,0,0,60312944,"512210","4006",NA,NA
"25","AR","Stuttgart School District No. 22","98797",2021,1231054,18345000,1231054,0,0,0,16474854,0,0,0,0,0,0,0,25037872,1437695,23600177,0,0,0,25037872,"0512960","1600","Arkansas County","STUTTGART"
"26","AR","Marked Tree School District No. 28","98741",2021,119064,7095000,119064,0,0,0,4815757,0,0,0,0,0,0,0,6987554,-1126375,8113929,0,0,0,6987554,"0509420","508","Poinsett County","MARKED TREE"
"27","AR","Greenbrier School District No. 47","98695",2021,5161,57074413,5161,0,0,0,36080274,0,0,0,0,0,0,0,49888011,2235919,47652092,0,0,0,49888011,"0506900","3613","Faulkner County","GREENBRIER"
"28","AR","Genoa Central School District No. 1","51148",2021,339923,11880000,339923,12941,0,0,11321592,0,0,0,0,0,0,0,27692091,-253047,27945138,0,0,0,27692091,"0504110","1168","Miller County","TEXARKANA"
"29","AR","Farmington School District No. 6","98682",2021,251635,51590700,251635,0,0,0,23873698,0,0,0,0,0,0,0,76778732,11018116,65760616,0,0,0,76778732,"0506090","2556","Washington County","FARMINGTON"
"30","AR","Gosnell School District No. 6","98692",2021,68665,0,68665,0,0,0,12868699,0,0,0,0,0,0,0,13031993,-11876,13043869,0,0,0,13031993,"0500029","1215","Mississippi County","GOSNELL"
