"","state","name.x","id","year","total_liabilities","net_pension_liability","net_opeb_liability","expenses","revenues","ncesID","name.y","nces_original_name","county_name","city","students"
"1","CA","Los Angeles Unified School District","146329",2020,29653109000,7446273000,8578152000,9320067000,9124800000,"0622710","Los Angeles Unified School District","Los Angeles Unified","Los Angeles County","Los Angeles",483234
"2","CA","Los Angeles Unified School District","146329",2021,33141717000,7935187000,11062961000,9827740000,10548699000,"0622710","Los Angeles Unified School District","Los Angeles Unified","Los Angeles County","Los Angeles",483234
"3","CA","Los Angeles Unified School District","146329",2022,28683759000,4311675000,10186225000,10824582000,12425358000,"0622710","Los Angeles Unified School District","Los Angeles Unified","Los Angeles County","Los Angeles",483234
"4","IL","Chicago Board of Education","198265",2020,27536280000,14127342000,2554892000,8034274000,6953478000,"1709930","Chicago Board of Education","City of Chicago SD 299","Cook County","Chicago",347484
"5","IL","Chicago Board of Education","198265",2021,29255897000,15440803000,2908390000,9035395000,7484194000,"1709930","Chicago Board of Education","City of Chicago SD 299","Cook County","Chicago",347484
"6","IL","Chicago Board of Education","198265",2022,29464982000,14727410000,3304981000,9159928000,8394133000,"1709930","Chicago Board of Education","City of Chicago SD 299","Cook County","Chicago",347484
"7","FL","The School Board of Miami-Dade County","69706",2020,6325737000,1948945000,201343000,4314370000,4120010000,"1200390","The School Board of Miami-Dade County","MIAMI-DADE","Miami-Dade County","MIAMI",347307
"8","FL","The School Board of Miami-Dade County","69706",2021,6749546000,2434673000,269536000,4354450000,4434150000,"1200390","The School Board of Miami-Dade County","MIAMI-DADE","Miami-Dade County","MIAMI",347307
"9","FL","The School Board of Miami-Dade County","69706",2022,5172321000,979938000,293561000,4310277000,4525881000,"1200390","The School Board of Miami-Dade County","MIAMI-DADE","Miami-Dade County","MIAMI",347307
"10","NV","Clark County School District","35528",2020,7278369954,3186524832,281606000,3532293031,3748080450,"3200060","Clark County School District","CLARK COUNTY SCHOOL DISTRICT","Clark County","LAS VEGAS",328991
"11","NV","Clark County School District","35528",2021,7397686653,3246664848,341397008,3587025211,3773255454,"3200060","Clark County School District","CLARK COUNTY SCHOOL DISTRICT","Clark County","LAS VEGAS",328991
"12","NV","Clark County School District","35528",2022,6616725990,2167406738,375206564,3731048703,4480642764,"3200060","Clark County School District","CLARK COUNTY SCHOOL DISTRICT","Clark County","LAS VEGAS",328991
"13","PR","Puerto Rico Department of Education","87610",2020,0,0,0,2221319116,2202553572,"7200030","Puerto Rico Department of Education","PUERTO RICO DEPARTMENT OF EDUCATION","San Juan Municipio","SAN JUAN",292518
"14","FL","The School Board of Broward County","68696",2020,4251168000,1419517000,216322000,3132393000,3041050000,"1200180","The School Board of Broward County","BROWARD","Broward County","FORT LAUDERDALE",269172
"15","FL","The School Board of Broward County","68696",2021,4719813000,1708054000,197602000,3112376000,3058227000,"1200180","The School Board of Broward County","BROWARD","Broward County","FORT LAUDERDALE",269172
"16","FL","The School Board of Broward County","68696",2022,4101087000,717399000,218703000,3098004000,3345977000,"1200180","The School Board of Broward County","BROWARD","Broward County","FORT LAUDERDALE",269172
"17","FL","School District of Hillsborough Countynty","32396",2020,2502458869,1166977434,208572211,2466616138,2451375686,"1200870","The School District of Hillsborough County","HILLSBOROUGH","Hillsborough County","TAMPA",223305
"18","FL","School District of Hillsborough Countynty","32396",2021,2665346000,1414051000,204024000,2470127000,2594106000,"1200870","The School District of Hillsborough County","HILLSBOROUGH","Hillsborough County","TAMPA",223305
"19","FL","School District of Hillsborough Countynty","32396",2022,1885482000,603952000,226659000,2344589000,2866307000,"1200870","The School District of Hillsborough County","HILLSBOROUGH","Hillsborough County","TAMPA",223305
"20","TX","Houston Independent School District","38988",2020,4918438580,594268532,716497750,2707336003,2881150552,"4823640","Houston Independent School District","HOUSTON ISD","Harris County","HOUSTON",210061
"21","TX","Houston Independent School District","38988",2021,4584477017,556359739,540884130,2792861674,3019128204,"4823640","Houston Independent School District","HOUSTON ISD","Harris County","HOUSTON",210061
"22","TX","Houston Independent School District","38988",2022,4017192671,261676905,531819720,2733855715,3143925418,"4823640","Houston Independent School District","HOUSTON ISD","Harris County","HOUSTON",210061
"23","FL","Orange County District School Board","102323",2020,2680621894,1128084763,58851299,2518940161,2676919286,"1201440","Orange County District School Board","ORANGE","Orange County","ORLANDO",208875
"24","FL","Orange County District School Board","102323",2021,2873292546,1384664900,57427977,2642541171,2877820251,"1201440","Orange County District School Board","ORANGE","Orange County","ORLANDO",208875
"25","FL","Orange County District School Board","102323",2022,1985696688,559308621,48695858,2528667847,3077292844,"1201440","Orange County District School Board","ORANGE","Orange County","ORLANDO",208875
"26","FL","The School District of Palm Beach County","93789",2020,3401701000,1151170000,199429000,2568945000,2551761000,"1201500","The School District of Palm Beach County","PALM BEACH","Palm Beach County","WEST PALM BEACH",194675
