"","ncesID","nces_original_name","county_name","city","state","students","id","year","total_liabilities","net_pension_liability","net_opeb_liability","expenses","revenues","liability_per_student","netpension_per_student","netOPEB_per_student","expenses_per_student","revenues_per_student","liability_rev_ratio"
"1","0622710","Los Angeles Unified","Los Angeles County","Los Angeles","CA",483234,"146329",2020,29653109000,7446273000,8578152000,9320067000,9124800000,61363.8713335568,15409.2489352984,17751.5489390233,19286.8610238518,18882.777288022,3.24972700771524
"2","0622710","Los Angeles Unified","Los Angeles County","Los Angeles","CA",483234,"146329",2021,33141717000,7935187000,11062961000,9827740000,10548699000,68583.1646779821,16421.0030751147,22893.5898550185,20337.4348659242,21829.380796881,3.14178241316773
"3","1709930","City of Chicago SD 299","Cook County","Chicago","IL",347484,"198265",2020,27536280000,14127342000,2554892000,8034274000,6953478000,79244.7422039576,40656.0935179749,7352.5457287242,23121.2775264473,20010.9299996547,3.96007293040979
"4","1709930","City of Chicago SD 299","Cook County","Chicago","IL",347484,"198265",2021,29255897000,15440803000,2908390000,9035395000,7484194000,84193.5081903052,44436.0114422535,8369.85300042592,26002.3339204107,21538.2406096396,3.90902440530002
"5","1200390","MIAMI-DADE","Miami-Dade County","MIAMI","FL",347307,"69706",2020,6325737000,1948945000,201343000,4314370000,4120010000,18213.6755089877,5611.59147382575,579.72629402805,12422.3525583993,11862.7323952584,1.53536933162784
"6","1200390","MIAMI-DADE","Miami-Dade County","MIAMI","FL",347307,"69706",2021,6749546000,2434673000,269536000,4354450000,4434150000,19433.9474873815,7010.14664259574,776.07419372486,12537.7547817925,12767.234751963,1.52217358456525
"7","3200060","CLARK COUNTY SCHOOL DISTRICT","Clark County","LAS VEGAS","NV",328991,"35528",2020,7278369954,3186524832,281606000,3532293031,3748080450,22123.3102242919,9685.7507712977,855.96870431106,10736.7466921588,11392.6534464469,1.94189267042013
"8","3200060","CLARK COUNTY SCHOOL DISTRICT","Clark County","LAS VEGAS","NV",328991,"35528",2021,7397686653,3246664848,341397008,3587025211,3773255454,22485.984884085,9868.55217315975,1037.70926256341,10903.1104528695,11469.175308747,1.96055812896468
"9","1200180","BROWARD","Broward County","FORT LAUDERDALE","FL",269172,"68696",2020,4251168000,1419517000,216322000,3132393000,3041050000,15793.5000668717,5273.64287518761,803.657141158813,11637.1427934555,11297.7947186186,1.39792768944937
"10","1200180","BROWARD","Broward County","FORT LAUDERDALE","FL",269172,"68696",2021,4719813000,1708054000,197602000,3112376000,3058227000,17534.5615442914,6345.58572214049,734.110531556031,11562.7777034758,11361.6089340645,1.54331676490986
