"","state.x","name.x","census_id.x","id","year.x","category.x","total_liabilities.x","bonds_outstanding.x","current_liabilities.x","leases.x","loans_outstanding.x","notes_outstanding.x","net_pension_liability.x","net_pension_assets.x","net_opeb_liability.x","net_opeb_assets.x","compensated_absences.x","charges_for_services.x","operating_grants.x","capital_grants.x","general_revenue.x","change_in_net_position.x","expenses.x","total_operating_revenues.x","non_operating_revenues.x","capital_contributions.x","revenues.x","has_unconfirmed.x","state.y","name.y","census_id.y","year.y","category.y","total_liabilities.y","bonds_outstanding.y","current_liabilities.y","leases.y","loans_outstanding.y","notes_outstanding.y","net_pension_liability.y","net_pension_assets.y","net_opeb_liability.y","net_opeb_assets.y","compensated_absences.y","charges_for_services.y","operating_grants.y","capital_grants.y","general_revenue.y","change_in_net_position.y","expenses.y","total_operating_revenues.y","non_operating_revenues.y","capital_contributions.y","revenues.y","has_unconfirmed.y"
"1","AR","Arkadelphia School District No.1",NA,98629,2021,"School District",153101,19920000,153101,0,0,0,19265446,0,0,0,0,0,0,0,46641500,3208930,43432570,0,0,0,46641500,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","CA","Hart Ransom Union Elementary",NA,67347,2021,"School District",22112041,4598864,3168011,0,0,0,12496537,0,1819736,0,28893,156563,1839876,0,11789630,-626789,14412858,0,0,0,13786069,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","CA","San Juan Unified School District",NA,146599,2021,"School District",1506265475,776700030,65420359,720645,0,0,513914000,0,134897401,0,5050590,7722534,216659059,3143614,456753480,40786507,643492180,0,0,0,684278687,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","CO","Garfield County School District No. 16",NA,65511,2021,"School District",61409508,34270729,2676762,0,0,0,23364304,0,849488,0,197245,200032,4387098,113000,19106582,10206820,13599892,0,0,0,23806712,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","IL","Cass Elementary School District 63",NA,224080,2021,"School District",7587180,7305000,0,282180,0,0,0,0,0,0,0,398077,5828030,0,10355575,824330,15757352,0,0,0,16581682,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","IL","Bunker Hill Community Unit School District No. 8",NA,224073,2021,"School District",2253007,1922000,52594,278413,0,0,328218,389659,0,0,0,0,0,0,10835168,521075,10314093,0,0,0,10835168,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","IL","Brooklyn Unit School District No. 188",NA,33119,2021,"School District",1962752,1962752,0,0,0,0,0,0,0,0,0,0,0,0,3347853,98777,3249076,0,0,0,3347853,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","IL","Casey-Westfield Community Unit School District C-4",NA,42094,2021,"School District",4709894,4415000,22633,201801,70460,0,0,0,0,0,0,0,0,0,17009404,821063,16188341,0,0,0,17009404,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","IL","Avoca Public School District No. 37",NA,224058,2021,"School District",21231029,8651937,1974758,0,0,0,916633,813901,9687701,0,0,464631,8777623,34407,14935899,-297958,24510518,0,0,0,24212560,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","IL","Byron Community School District No. 226",NA,65800,2021,"School District",13655930,13655930,0,0,0,0,0,0,0,0,0,409347,1561053,0,39141991,14785470,26326921,0,0,0,41112391,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
