"","state.x","name.x","census_id.x","id","year.x","category.x","total_liabilities.x","bonds_outstanding.x","current_liabilities.x","leases.x","loans_outstanding.x","notes_outstanding.x","net_pension_liability.x","net_pension_assets.x","net_opeb_liability.x","net_opeb_assets.x","compensated_absences.x","charges_for_services.x","operating_grants.x","capital_grants.x","general_revenue.x","change_in_net_position.x","expenses.x","total_operating_revenues.x","non_operating_revenues.x","capital_contributions.x","revenues.x","has_unconfirmed.x","state.y","name.y","census_id.y","year.y","category.y","total_liabilities.y","bonds_outstanding.y","current_liabilities.y","leases.y","loans_outstanding.y","notes_outstanding.y","net_pension_liability.y","net_pension_assets.y","net_opeb_liability.y","net_opeb_assets.y","compensated_absences.y","charges_for_services.y","operating_grants.y","capital_grants.y","general_revenue.y","change_in_net_position.y","expenses.y","total_operating_revenues.y","non_operating_revenues.y","capital_contributions.y","revenues.y","has_unconfirmed.y"
"1","TX","Meridian Independent School District",NA,49564,2020,"School District",12910630,6230605,1085891,0,0,0,2161651,0,3432483,0,0,964104,1523809,0,5634837,-488929,8611679,0,0,0,8122750,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","GU","Guam Department of Education",NA,49402,2020,"School District",1411001490,0,25023216,161541271,0,0,457358525,0,752994530,0,14083948,582062,71545560,0,248337827,-24611151,345076600,0,0,0,320465449,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","PA","Annville-Cleona School District",NA,49449,2020,"School District",68325033,26917022,3732130,106155,0,0,32841391,0,4161415,0,516865,365848,4939662,0,21100956,1489036,24917430,0,0,0,26406466,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","AL","Elba City Board of Education",NA,49861,2020,"School District",10179528,0,732215,1077606,0,66949,5702000,0,2600758,0,0,530842,5219145,239534,1539352,361794,7167079,0,0,0,7528873,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","CA","Rio Bravo-Greeley Union School District",NA,51579,2020,"School District",27406212,9443037,765987,0,0,0,10584872,0,1686340,0,86495,182192,2336432,0,14064241,4121649,12461216,0,0,0,16582865,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","MS","Greenville Public School District",NA,35086,2020,"School District",81786998,5525000,2147695,228787,0,0,68762096,0,4786460,0,336960,424150,12268140,0,33584622,2445705,43831207,0,0,0,46276912,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","WI","Waterford Graded School District Joint No.1",NA,53327,2020,"School District",31325722,10887049,5201866,0,0,13467000,0,1639850,1554533,0,215274,2282078,1711176,0,19509067,2404893,21097428,0,0,0,23502321,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ME","Regional School Unit 23",NA,54127,2020,"School District",5926461,590000,1644237,0,0,0,948550,0,2234504,0,114483,302609,2864334,0,14863403,499003,17531343,0,0,0,18030346,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","MS","Houston School District",NA,42819,2020,"School District",26502388,0,98845,700051,0,885000,22901582,0,1713915,0,202995,492979,2892383,0,13423070,383580,16424852,0,0,0,16808432,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ME","Regional School Unit 24",NA,54103,2020,"School District",15096423,6816226,1695493,1409918,0,2000001,552709,0,2442910,0,179166,181371,2614546,8350,16432474,1280389,17956352,0,0,0,19236741,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","IN","Sheridan Community Schools",NA,54093,2020,"School District",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16024140,257517,15766623,0,0,0,16024140,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","CO","Delta County Joint School District No. 50j",NA,32043,2020,"School District",87041425,7001598,8538878,443755,0,0,65319040,0,3188518,0,562313,5162429,10000122,5480170,40605912,18253747,42994886,0,0,0,61248633,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","MA","Ayer Shirley Regional School District",NA,55512,2020,"School District",45241819,15319322,3187237,0,0,0,4713693,0,21649209,0,372358,898344,7798444,0,29164597,-517713,38379098,0,0,0,37861385,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","CO","Elizabeth School District",NA,57430,2020,"School District",33890795,0,2546371,685518,0,0,29117482,0,1431390,0,110034,1437664,2857153,0,21738854,5106032,20927639,0,0,0,26033671,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","KY","Newport Independent School District",NA,33637,2020,"School District",31241794,15794997,314866,0,0,0,8454634,0,6319390,0,357907,104938,5692362,0,14158675,-978159,20934134,0,0,0,19955975,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","AZ","Many Farms Community School Inc",NA,55545,2020,"School District",6248994,0,6138574,0,0,0,0,0,0,0,110420,246633,8629426,0,80966,1646988,7310037,0,0,0,8957025,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","WA","Wilbur School District No 200",NA,105585,2020,"School District",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","MS","New Albany Public School District",NA,35084,2020,"School District",48735692,8740000,1843498,2198710,0,710730,32885906,0,2145105,0,211743,1382089,3769937,0,17628882,-849225,23630133,0,0,0,22780908,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","OH","Columbiana Exempted Village School District",NA,82847,2020,"School District",26614576,476003,1292969,76877,0,0,11383356,0,869778,700357,731778,2351809,1457850,0,10135729,-872007,14817395,0,0,0,13945388,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","IL","Cook County School District 130",NA,32902,2020,"School District",20265557,20255221,10336,0,0,0,0,0,0,0,0,113322,11716362,0,50586881,3514906,58901659,0,0,0,62416565,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","IL","Tazewell-Mason Counties Special Education Association",NA,33141,2020,"School District",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11792949,278876,11514073,0,0,0,11792949,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","MS","Bay St. Louis-Waveland School District",NA,35010,2020,"School District",33682505,0,327993,0,0,2495000,28894815,0,1710088,0,254609,152760,3695899,0,18089564,-1766434,23704657,0,0,0,21938223,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","WA","Chimacum School District No. 49",NA,39630,2020,"School District",656791,0,656791,0,0,0,4216795,0,0,0,0,0,0,0,15603074,-579072,16182146,0,0,0,15603074,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","WI","Wautoma Area School District",NA,40104,2020,"School District",6345023,4457626,717399,0,0,0,0,1807621,1169998,0,0,1223883,2513764,0,15709778,139106,19308319,0,0,0,19447425,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","WI","School District of Hartford Joint No.1",NA,40086,2020,"School District",12599221,9885585,2463967,40198,0,0,0,2116271,0,142072,209471,944859,4057989,0,22364612,1810261,25557199,0,0,0,27367460,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","WY","Park County School District No.1",NA,40162,2020,"School District",25006928,0,3623536,0,0,0,21035555,0,0,0,311821,282262,3029858,1484207,27439235,-2586319,34821881,0,0,0,32235562,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","WY","Fremont County School District 25",NA,40150,2020,"School District",32362315,0,1200115,0,0,0,28790307,0,1879688,0,492205,205024,7051453,2134640,40158719,-179572,49729408,0,0,0,49549836,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","IN","South Montgomery Community School Corporation",NA,43573,2020,"School District",0,0,0,0,0,0,0,0,0,0,0,0,0,0,26294777,-1564928,27859705,0,0,0,26294777,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
