"","state","name","census_id","id","year","category","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","has_unconfirmed"
"1","AR","Cutter-Morning Star School District No. 21",NA,167118,2021,"School District",38919,17090000,38919,0,0,0,5147715,0,0,0,0,0,0,0,17085908,989905,16096003,0,0,0,17085908,FALSE
"2","AR","Dollarway School District No.2",NA,98673,2021,"School District",259483,13050000,259483,0,0,0,13771706,0,0,0,0,0,0,0,28524178,496013,28028165,0,0,0,28524178,FALSE
"3","AR","Berryville School District No. 27",NA,98642,2021,"School District",393395,26080000,393395,0,0,0,19682212,0,0,0,0,0,0,0,30080176,1841216,28238960,0,0,0,30080176,FALSE
"4","AR","Marvell School District No. 22",NA,30755,2021,"School District",439965,4050000,439965,0,0,0,4889387,0,0,0,0,0,0,0,7869934,930832,6939102,0,0,0,7869934,FALSE
"5","AR","Blytheville School District No 5",NA,66843,2021,"School District",574558,22065000,574558,0,0,0,10803407,0,0,0,0,0,0,0,27581719,738666,26843053,0,0,0,27581719,FALSE
"6","AR","Sheridan School District No. 37",NA,98787,2021,"School District",891133,58780000,891133,0,0,0,40072661,0,0,0,0,0,0,0,91509230,-4411417,95920647,0,0,0,91509230,FALSE
"7","AR","Valley View School District No. 58",NA,98801,2021,"School District",1614463,45690000,1614463,0,0,0,27037962,0,0,0,0,0,0,0,51037409,3452137,47585272,0,0,0,51037409,FALSE
"8","AR","Vilonia School District No. 17",NA,98803,2021,"School District",552257,18810000,552257,0,0,0,33530892,0,0,0,0,0,0,0,40636211,-1295591,41931802,0,0,0,40636211,FALSE
"9","AR","Mountainburg School District No. 16",NA,98754,2021,"School District",191756,3020000,191756,0,0,0,7083495,0,0,0,0,0,0,0,16641656,132741,16508915,0,0,0,16641656,FALSE
"10","AR","Ouachita River School District",NA,52057,2021,"School District",199876,1685000,199876,0,0,0,7693261,0,0,0,0,0,0,0,10127667,823428,9304239,0,0,0,10127667,FALSE
"11","AR","Ozark School District No. 14",NA,98764,2021,"School District",156929,19070000,156929,0,0,0,18412030,0,0,0,0,0,0,0,42085905,1423726,40662179,0,0,0,42085905,FALSE
"12","AR","Riverview School District",NA,46045,2021,"School District",862087,7910000,862087,65416,0,0,14207044,0,0,0,0,0,0,0,23509723,235929,23273794,0,0,0,23509723,FALSE
"13","AR","Searcy Special School District",NA,108526,2021,"School District",2268609,21625000,2268609,0,0,0,40859800,0,0,0,0,0,0,0,60312944,12056040,48256904,0,0,0,60312944,FALSE
"14","AR","Stuttgart School District No. 22",NA,98797,2021,"School District",1231054,18345000,1231054,0,0,0,16474854,0,0,0,0,0,0,0,25037872,1437695,23600177,0,0,0,25037872,FALSE
"15","AR","Marked Tree School District No. 28",NA,98741,2021,"School District",119064,7095000,119064,0,0,0,4815757,0,0,0,0,0,0,0,6987554,-1126375,8113929,0,0,0,6987554,FALSE
"16","AR","Greenbrier School District No. 47",NA,98695,2021,"School District",5161,57074413,5161,0,0,0,36080274,0,0,0,0,0,0,0,49888011,2235919,47652092,0,0,0,49888011,FALSE
"17","AR","Genoa Central School District No. 1",NA,51148,2021,"School District",339923,11880000,339923,12941,0,0,11321592,0,0,0,0,0,0,0,27692091,-253047,27945138,0,0,0,27692091,FALSE
"18","AR","Gosnell School District No.6",NA,98692,2021,"School District",68665,0,68665,0,0,0,12868699,0,0,0,0,0,0,0,13031993,-11876,13043869,0,0,0,13031993,FALSE
"19","AR","Greenwood School District No. 25",NA,98698,2021,"School District",355050,37615000,355050,0,0,0,39674092,0,0,0,0,0,0,0,90265856,2329377,87936479,0,0,0,90265856,FALSE
"20","AR","Midland School District No. 19",NA,98748,2021,"School District",130829,5675000,130829,0,0,0,6066582,0,0,0,0,0,0,0,12681088,-61204,12742292,0,0,0,12681088,FALSE
"21","AR","Mountain Pine School District No. 46",NA,98752,2021,"School District",364771,6220000,364771,0,0,0,6848702,0,0,0,0,0,0,0,8696482,-13175,8709657,0,0,0,8696482,FALSE
