"","state","name","census_id","id","ncesID","is_city","is_county","is_intergovernmental","is_special_district","is_state","is_tribal","year","category","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","has_unconfirmed","component_unit_of_id"
"1","AZ","Greasewood Springs Community School Inc",NA,66951,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",84600,0,65197,0,0,0,0,0,0,0,0,102180,6205224,13624,3737662,5271906,4786784,0,0,0,10058690,FALSE,NA
"2","CO","St. Vrain Valley School District RE-1J",NA,1266165,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",1136809462,499985768,49244572,10163052,0,0,550847978,0,20023290,0,6544802,9009296,71056254,2092018,389038759,176718152,294478175,0,0,0,471196327,FALSE,NA
"3","CA","Mountain View-Los Altos Union High School District",NA,31473,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",373817393,248520541,14346138,1071345,0,0,102993000,0,4863474,0,487895,2112143,22271309,0,126384875,18630453,132137874,0,0,0,150768327,FALSE,NA
"4","IL","Ball-Chatham Community Unit School No. 5",NA,33131,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",38140158,38120000,20158,0,0,0,2088136,725037,21511256,0,0,0,0,0,61945664,9155128,52790536,0,0,0,61945664,FALSE,NA
"5","IL","Cass Elementary School District No. 63",NA,224080,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",7587180,7305000,0,282180,0,0,0,0,0,0,0,398077,5828030,0,10355575,824330,15757352,0,0,0,16581682,FALSE,NA
"6","IL","Bunker Hill Community Unit School District No. 8",NA,224073,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",2253007,1922000,52594,278413,0,0,328218,389659,0,0,0,0,0,0,10835168,521075,10314093,0,0,0,10835168,FALSE,NA
"7","IL","Brooklyn Unit School District No. 188",NA,33119,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",1962752,1962752,0,0,0,0,0,0,0,0,0,0,0,0,3347853,98777,3249076,0,0,0,3347853,FALSE,NA
"8","IL","Casey-Westfield Community Unit School District C-4",NA,42094,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",4709894,4415000,22633,201801,70460,0,0,0,0,0,0,0,0,0,17009404,821063,16188341,0,0,0,17009404,FALSE,NA
"9","IL","Avoca Public School District No. 37",NA,224058,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",21231029,8651937,1974758,0,0,0,916633,813901,9687701,0,0,464631,8777623,34407,14935899,-297958,24510518,0,0,0,24212560,FALSE,NA
"10","IL","Boubonnais Elementary School District No. 53",NA,224070,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",12737199,8790000,3703380,243819,0,0,1153675,652722,0,0,0,452394,15246229,0,23299787,2310243,36688168,0,0,0,38998411,FALSE,NA
"11","IL","Benton Consolidated High School District No. 103",NA,224064,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",2421276,2416473,4803,0,0,0,372637,271238,3808232,0,0,0,0,0,12974146,-1157366,14131512,0,0,0,12974146,FALSE,NA
"12","IL","Bradley Bourbonnais Community High School #307",NA,93828,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2021,"School District",9065000,9065000,0,0,0,0,1107916,0,0,0,0,0,0,0,36688869,-169354,36858223,0,0,0,36688869,FALSE,NA
