"","state","acfrs_original_name","id"
"1","IN","Lewis Cass Schools","64838"
"2","AR","Rogers School District No. 30","44948"
"3","AR","North Little Rock School District No.1","145855"
"4","OK","Colcord Public Schools","84865"
"5","OK","Five Star Interlocal Cooperative","48680"
"6","OR","Sage Community School","86818"
"7","TN","Trenton Special School District","107516"
"8","TN","West Carroll Special School District","107586"
"9","TN","Alcoa City Schools","106529"
"10","TN","Maryville City Schools","107153"
"11","TN","Loudon County Schools","107129"
"12","OK","Ripley School District I-3","227722"
"13","OK","Cushing School District I-67","147028"
"14","TN","Polk County Schools","107324"
"15","TN","Warren County Schools","107563"
"16","TN","Manchester City Schools","107142"
"17","TN","South Carroll Special School District","107448"
"18","TN","Blount County Schools","106593"
"19","MI","Cedar Springs Public Schools","34475"
"20","OK","Pawnee School District I-1","281439"
"21","TN","Cocke County Schools","106709"
"22","TN","Meigs County Schools","107178"
"23","TN","Henry County Schools","401771"
"24","TN","Bradford Special School District","106606"
"25","TN","Tennessee School Boards Unemployment Compensation Trust","107402"
"26","MI","Chesaning Union Schools","34619"
"27","MI","Dewitt Public Schools","161493"
"28","MI","Saugatuck Public Schools","161658"
"29","MI","Mason County Eastern School District","161656"
"30","MI","Godfrey-Lee Public Schools","34485"
"31","MI","Schoolcraft Community Schools","161652"
"32","MI","Van Dyke Public Schools","34524"
"33","MI","Midland Public Schools","34543"
"34","MI","Reese Public Schools","34647"
"35","MI","Bridgeport-Spaulding Community School District","34617"
"36","MI","Burr Oak Community School District","161630"
"37","MI","Honey Creek Community School","161653"
"38","MI","Black River Public School","161627"
"39","MI","Tawas Area Schools","34452"
"40","MI","Martin Public Schools","161437"
"41","MI","The Lamphere Schools","161655"
"42","MI","Pentwater Public School District","161657"
"43","MI","Big Jackson School District","161623"
"44","MI","Carrollton Public Schools","34618"
"45","MI","Mason Public Schools","161650"
"46","MI","Pewamo-Westphalia Community Schools","161501"
"47","MI","Stockbridge Community Schools","80828"
"48","MI","Royal Oak Schools","57134"
"49","MI","Lakeview Community Schools","161654"
"50","MI","Montague Area Public Schools","34558"
"51","MI","Beaver Island Community School","161470"
"52","AK","Yukon Koyukuk School District","30414"
"53","AK","Annette Islands School District","30408"
"54","AK","Alaska Gateway School District","30400"
"55","PA","Fairview School District","167063"
"56","AR","Alma School District No. 30","1027222"
"57","AK","Anchorage School District","40425"
"58","AK","Delta-Greely School District","93562"
"59","AK","Bering Strait School District","30406"
"60","AK","Aleutians East Borough School District","31587"
"61","AK","Fairbanks North Star Borough School District","40268"
"62","AR","Beebe School District","1027237"
"63","AR","Salem School District No. 30","98785"
"64","AK","Dillingham City School District","31592"
"65","AR","Greene County Technical School District No.1","1027275"
"66","AR","Danville School District No. 36","47163"
"67","AL","Oneonta City Board of Education","43630"
"68","AR","Cabot School District No.4","98650"
"69","AR","Bentonville School District No. 6","98641"
"70","AR","Dollarway School District No.2","98673"
"71","AL","Hartselle City Board of Education","30374"
"72","AR","Jackson County School District No. 5","1027274"
"73","AR","Hamburg School District No. 51","98703"
"74","AR","Rivercrest School District No. 57","98780"
"75","AR","Harrisburg School District No.6","98707"
"76","AR","Fort Smith School District 100","1027267"
"77","AR","Newport School District","1027309"
"78","AR","Pocahontas School District No. 19","98773"
"79","AR","Mena School District No. 23","1027296"
"80","AR","Jonesboro School District No.1","98723"
"81","AR","Farmington School District No. 6","98682"
"82","AR","Mountain Pine School District No. 46","98752"
"83","AL","Oxford City Board of Education","1017284"
"84","AR","Batesville School District No.1","98636"
"85","AR","Magnolia School District No. 14","30691"
"86","AL","Phenix City Board of Education","1017779"
"87","AK","Hydaburg City School District","65139"
"88","AR","Booneville School District No. 65","98646"
"89","AR","Lee County School District No. 1","45680"
"90","AR","Lawrence County School District","43680"
"91","AR","Magazine School District No. 15","98734"
"92","AR","England School District No.2","98680"
"93","AR","Marmaduke School District No. S-2","1027289"
"94","AR","Bismarck School District No. 25","98643"
"95","AR","Dequeen-Mena Educational Service Cooperative","30778"
"96","AK","Craig City School District","31603"
"97","AR","Crossett School District No. 52","98666"
"98","AR","Conway School District No.1","108515"
"99","AR","Smackover-Norphlet School District No. 39","1027325"
"100","AR","Sheridan School District No. 37","98787"
"101","AR","Lonoke School District No.1","1027282"
"102","AR","Pine Bluff School District No. 3","1027316"
"103","AR","Great Rivers Educational Service Cooperative","98693"
"104","AR","Clarksville School District No. 17","98660"
"105","AR","Lafayette County School District","50534"
"106","AR","Helena-West Helena School District No. 2","49169"
"107","AR","Cedarville School District No. 44","98656"
"108","AR","Centerpoint School District No. 43","98657"
"109","AR","Decatur School District No. 17","98668"
"110","AR","Marked Tree School District No. 28","98741"
"111","AR","Marvell School District No. 22","30755"
"112","AR","Paragould School District No. 1","1027317"
"113","AR","Monticello School District No.18","30705"
"114","AR","Augusta School District No. 10","1027226"
"115","AR","Cleveland County School District","1027261"
"116","AR","Bald Knob School District","30787"
"117","AL","Saraland Board of Education","53559"
"118","AR","Mountain Home School District No.9","98751"
"119","AR","Jacksonville/North Pulaski School District","58500"
"120","AR","Guy Fenter Education Service Cooperative","30709"
"121","AR","Paris School District No.7","98767"
"122","AR","Buffalo Island Central School District No. 40","197763"
"123","AR","Searcy Special School District","108526"
"124","AK","Klawock City School District","45184"
"125","AR","Hermitage School District No. 12","98712"
"126","AR","Mansfield School District No. 76","47026"
"127","AR","Cave City School District No. 2a","1027234"
"128","AR","Mayflower School District No. 78","98743"
"129","AK","Kashunamiut School District","30415"
"130","AR","Marion School District No.3","98740"
"131","AR","Perryville School District No.7","98770"
"132","AR","Gosnell School District No.6","98692"
"133","AR","Barton-Lexa School District No.4","98635"
"134","AR","Riverview School District","46045"
"135","AR","Harmony Grove School District No.1","145854"
"136","AR","Fouke School District No. 15","98688"
"137","AR","Caddo Hills School District No. 28","98651"
"138","AR","Brookland School District No. 14","98648"
"139","AR","Fountain Lake School District No. 18","98689"
"140","AR","Bergman School District No. 3","1027231"
"141","AR","Arkadelphia School District No. 1","1027205"
"142","AR","Dawson Educational Cooperative","56143"
"143","AR","Glen Rose School District No.3","98691"
"144","AK","Lake and Peninsula School District","31588"
"145","AZ","Benson Unified School District No. 9","45923"
"146","AZ","Altar Valley Elementary School District No. 51","30596"
"147","AR","West Fork School District No. 141","48230"
"148","AZ","St. Johns Unified School District No.1","30515"
"149","AK","Kenai Peninsula Borough School District","31578"
"150","AZ","Kingman Unified School District No. 20","30576"
"151","AK","North Slope Borough School District","31586"
"152","AK","Galena City School District","31610"
"153","AK","Kake City School District","40239"
"154","AK","Hoonah City School District","31606"
"155","AZ","Deer Valley Unified School District No. 97","30572"
"156","AK","Ketchikan Gateway Borough School District","31580"
"157","AZ","Douglas Unified School District No. 27","30521"
"158","AZ","Dysart Unified School District No. 89","44818"
"159","AZ","Glendale Union High School District No. 205","1027353"
"160","AZ","Littleton Elementary School District No. 65","30552"
"161","AZ","J. O. Combs Unified School District No. 44","91043"
"162","AR","Westside Consolidated School District No.5","98810"
"163","AZ","Sanders Unified School District No. 18","30514"
"164","AZ","Scottsdale Unified School District No. 48","30564"
"165","AK","Iditarod Area School District","30412"
