"","state","name","id","year"
"1","AR","Marvell School District No. 22","30755",2021
"2","AR","Sheridan School District No. 37","98787",2021
"3","AR","Valley View School District No. 58","98801",2021
"4","AR","Vilonia School District No. 17","98803",2021
"5","AR","Cutter-Morning Star School District No. 21","167118",2021
"6","AR","Mountainburg School District No. 16","98754",2021
"7","AR","Ouachita River School District","52057",2021
"8","AR","Ozark School District No. 14","98764",2021
"9","AR","Dollarway School District No.2","98673",2021
"10","AR","Berryville School District No. 27","98642",2021
"11","AR","Blytheville School District No 5","66843",2021
"12","AR","Dover School District No. 17","93573",2021
"13","AR","Riverview School District","46045",2021
"14","AR","Searcy Special School District","108526",2021
"15","AR","Stuttgart School District No. 22","98797",2021
"16","AR","Marked Tree School District No. 28","98741",2021
"17","AR","Greenbrier School District No. 47","98695",2021
"18","AR","Genoa Central School District No. 1","51148",2021
"19","AR","Gosnell School District No.6","98692",2021
"20","AR","Greenwood School District No. 25","98698",2021
"21","AR","Midland School District No. 19","98748",2021
"22","AR","Mountain Pine School District No. 46","98752",2021
"23","AR","Harmony Grove School District No.1","145854",2021
"24","AR","Jonesboro School District No.1","98723",2021
"25","AR","Lafayette County School District","50534",2021
"26","AR","Helena-West Helena School District No. 2","49169",2021
"27","AR","Jacksonville/North Pulaski School District","58500",2021
"28","AR","Lavaca School District No.3","98730",2021
"29","AR","Bentonville School District No. 6","98641",2021
"30","AR","Conway School District No.1","108515",2021
"31","AR","Mountain View School District No. 30","98753",2021
"32","AR","Earle School District No. 1","1027254",2021
"33","AR","Des Arc School District No. 5","98670",2021
"34","AR","Eureka Springs School District No. 21","98681",2021
"35","AR","Arkadelphia School District No. 1","1027205",2021
"36","AR","Hampton School District No.1","98704",2021
"37","AR","Harrisburg School District No.6","98707",2021
"38","AR","Mulberry/Pleasant View Bi-County School District No. 101","167125",2021
"39","AR","Lee County School District No. 1","45680",2021
"40","AR","Bauxite School District No. 14","98637",2021
"41","AR","Caddo Hills School District No. 28","98651",2021
"42","AR","Marion School District No.3","98740",2021
"43","AR","Centerpoint School District No. 43","98657",2021
"44","AR","Dawson Educational Cooperative","56143",2021
"45","AR","Marmaduke School District No. S-2","1027289",2021
"46","AR","Fountain Lake School District No. 18","98689",2021
"47","AL","Lowndes County Board of Education Head Start","223694",2021
