"","state","acfrs_original_name","acfrsID","ncesID"
"1","AR","Searcy Special School District","108526",NA
"2","AR","Jacksonville/North Pulaski School District","58500",NA
"3","AR","Earle School District No. 1","1027254",NA
"4","AR","Arkadelphia School District No. 1","1027205",NA
"5","AR","Dawson Educational Cooperative","56143",NA
"6","AR","Marmaduke School District No. S-2","1027289",NA
"7","AL","Lowndes County Board of Education Head Start","223694",NA
"8","AR","Arkansas River Educational Service Cooperative","30729",NA
"9","AZ","Greasewood Springs Community School Inc","66951",NA
"10","CA","Kings County Office of Education","42904",NA
"11","CT","Amity Regional School District No 5","68140",NA
"12","AK","Lake and Peninsula School District","31588",NA
"13","AK","City of Saint Mary's School District","167071",NA
"14","AK","City and Borough of Juneau School District","40426",NA
"15","AL","Cullman County Commission on Education","163742",NA
"16","AR","Fort Smith School District 100","1027267",NA
"17","AR","Camden Fairview School District No. 16","1027241",NA
"18","CA","Amador County Office of Education","31117",NA
"19","CA","Alameda County Office of Education","40359",NA
"20","CA","Glenn County Office of Education","43353",NA
"21","CA","Lake County Office of Education","31685",NA
"22","CA","Los Angeles County Office of Education","31688",NA
"23","CA","Placer County Office of Education","31703",NA
"24","CA","San Joaquin County Office of Education","45553",NA
"25","CA","Point Arena Schools District","167205",NA
"26","CA","Butte County Office of Education","42186",NA
"27","CA","Calaveras County Office of Education","31671",NA
"28","CA","Central School District","146006",NA
"29","CA","Colusa County Office of Education","91419",NA
"30","CA","Contra Costa County Special Education Local Plan Area","45569",NA
"31","CA","Contra Costa County Office of Education","40311",NA
"32","CA","Greater Anaheim Special Education Local Plan Area","47326",NA
"33","CA","Imperial County Office of Education","146228",NA
"34","CA","Hart Ransom Union Elementary","67347",NA
"35","CA","Humboldt County Office of Education","31680",NA
"36","CA","Mariposa County Office of Education","67546",NA
"37","CA","Marin County Office of Education","40362",NA
"38","CA","Mendocino County Office of Education","91067",NA
"39","CA","Merced City School District","146373",NA
"40","CA","Napa County Office of Education","31698",NA
"41","CA","Monterey County Office of Education","31696",NA
"42","CA","Tuolumne County Office of Education","45608",NA
"43","CA","Ventura County Office of Education","31734",NA
"44","CA","Riverside County Office of Education","31705",NA
"45","CA","San Diego County Office of Education","31711",NA
"46","CA","Sacramento County Office of Education","31707",NA
"47","CA","Santa Barbara County Education Office","146618",NA
"48","CA","Solano County Office of Education","31722",NA
